,EventTemplate,Occurrences
0, and ,467
1,": This is the name of the block (i.e., ",35
2,: This placeholder represents the value of the ,30
3,") in the log message. In this case, it is ",2
4,": This placeholder represents the ID of the block that was added to the map.
* ",12
5,"
",324
6, is replaced by ,30
7,"
PacketResponder {responder} for block {block} terminating.
",78
8,"
So the template is ",19
9,: ,201
10,"
Received {block} of size {size} from {ip_address}
",66
11,"
BLOCK* NameSystem.addStoredBlock: blockMap updated: {10.251.74.79:50010} is added to blk_-4794867979917102672, size 67108864
",1
12, and the block name is ,16
13,", and the block name is ",1
14,"
Receiving {src} block blk_-{number} for {dest} terminating
",54
15," represents the overall structure of the log message, and ",18
16," is replaced by ""blk_5165786360127153975""
* ",1
17," represent the IP address and port number of the node that added the block.
* ",5
18,: The value of the ,16
19," is replaced by ""-29548654251973735""
* ",1
20,"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067, size 67108864.
",1
21," is replaced by ""-2530087534157630851""
* ",1
22,": The size of the block being added

So, the full template would be: ",6
23,"
Verification {verification} succeeded for block {block}
",1
24,"
Deleting {file} for block {block} file /mnt/hadoop/dfs/data/current/subdir5/{block}
",2
25," symbol indicating that it's a negative number.
* ",1
26,": This placeholder represents the number of the block that was served.
* ",2
27,").
* ",10
28," is a number that corresponds to the specific block.
* ",1
29,"
So the template of the log message is ",23
30,": This placeholder represents the ID of the block that was being served, as specified in the log message.
* ",1
31," represents a placeholder for the block ID, and ",1
32,": The ID of the block (e.g., ""blk_5126469776250053435"")
* ",1
33,": This is the block ID or name that was being served.
* ",1
34,": This place holder represents the ID of the block that the packet was served from, followed by a number that indicates the specific instance of the block (e.g. blk_2969087638814291714).
* ",1
35, is the block number and ,1
36, and the size of the block being added is ,8
37,: This placeholder will be replaced with the value of the ,4
38,": This placeholder represents the IP address and port number of the node that added the block to the map.
* ",9
39,": The ID of the block that was added.
* ",1
40," is replaced by ""-6956067134432991406""
* ",1
41," is replaced by ""blk_7481361125021302112""
* ",1
42," is replaced by ""-3249711809227781266""
* ",1
43," is replaced by ""-1055254430948037872""
* ",1
44, is replaced by the value ,4
45,": The block that was added to the map.
* ",17
46," is replaced by ""-8924134715029713489""
* ",1
47," is replaced by ""blk_278357163850888""
* ",1
48, and the variables are enclosed in backticks ,3
49," is replaced by ""-6836642008179678048""
* ",1
50,": This is the ID of the block (i.e., ",16
51,"
Receiving {src} block blk_7672124247291403094 dest: {dest}
",1
52,": This is the name of the responder.
* ",3
53,": This placeholder represents the size of the block being added to the map.
* ",3
54,": This placeholder represents the text after the first colon in the log message, which is the name of the block being added. In this case, it is ""blk_5095897972833086609"".
* ",1
55," is replaced by ""-5511630179413516751""
* ",1
56," is replaced by ""-5404881839098659470""
* ",1
57,"
BLOCK* NameSystem.addStoredBlock: blockMap updated: {10.250.11.194:50010} is added to blk_-1635752698830216319, size {67108864}
",1
58," is replaced by ""blk_446513188203036714""
* ",1
59," is replaced by ""6285161494041403917""
* ",1
60," is replaced by ""-6995454028444097802""
* ",1
61,": The port number of the system that added the block.
* ",2
62,"
Served {block} for {client_ip} terminating
",6
63," is a placeholder for the actual block ID, and ",1
64," is a placeholder for the block ID, and ",1
65, is a placeholder for the value ,2
66," is a placeholder for the value of the first field in the log message, which is the block number.
* ",3
67,"
Served {block} for block {blk_} to /{IP address}
",2
68,".

So, the template of the log message is ",1
69,": This placeholder represents the ID of the block that the packet was served from, followed by a number that indicates the specific block (e.g., blk_3169060243663461885).
* ",1
70,": This is a placeholder for the block ID that was encountered in the log message.
* ",1
71,": The ID of the block (e.g., ""blk_6106884317961925960"")
* ",1
72,"
Served {block} for /{ip_address}
",4
73,": This place holder represents the number of the block that the packet was served for.
* ",1
74,": This placeholder represents the ID of the block that was served, which is preceded by a hyphen (-) to indicate that it's a block ID.
* ",3
75,"
Served {block} for block {blk_} to /{ip}
",1
76,") because it contains an underscore.
* ",1
77," is the variable that represents the block name or ID.
* ",1
78, is a placeholder for the actual value of the ,2
79,".

So, the template of the log message is: ",1
80,": The IP address of the node that the block is being added to the invalidSet for.
* ",136
81,": The IP address of the server hosting the NameSystem.
* ",30
82,": The IP address of the entity adding the block to the invalid set.
* ",3
83,": The IP address of the node that is adding the block to the invalid set.
* ",3
84,": The IP address of the node that the block is being added to the invalidSet on.
* ",1
85,"
Deleting {file} for block {block} file /mnt/hadoop/dfs/data/current/subdir{51}/{block}
",1
86," is a placeholder for the actual file name, and ",5
87,": The name of the file being deleted.
* ",2
88,"
Deleting {file} for block {block} file /mnt/hadoop/dfs/data/current/subdir42/{block}
",1
89,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir{33}/{file}
",2
90,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir32/{file}
",2
91,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir6/{file}
",2
92,"
Deleting {file} file /mnt/hadoop/dfs/data/current/{file}
",8
93,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir{57}/{file}
",2
94,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir{38}/{file}
",2
95,"
Deleting {file} for block {block} file /mnt/hadoop/dfs/data/current/subdir0/{block}
",2
96,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir48/{file}
",1
97,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir23/{file}
",2
98,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir{13}/{file}
",1
99,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir{30}/{file}
",1
100,"
Deleting {file} for block {block} file /mnt/hadoop/dfs/data/current/subdir47/{block}
",1
101,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir21/{file}
",1
102,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir4/{file}
",1
103,"
Deleting {file} for block {block} file /mnt/hadoop/dfs/data/current/subdir{40}/{block}
",3
104,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir{50}/{file}
",1
105,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir{40}/{file}
",2
106,"
Deleting {file} for block {block} file /mnt/hadoop/dfs/data/current/subdir24/{block}
",3
107,"
Deleting {file} file /mnt/hadoop/dfs/data/current/subdir7/{file}
",1
108," is replaced by ""blk_5277338321835341602""
* ",1
109,"
Deleting {file} for block {block} file /mnt/hadoop/dfs/data/current/subdir{8}/{block}
",1
110,": This variable represents the block that is being added to the map.
* ",2
111," is replaced by ""-6592952246351162022""
* ",1
112," is replaced by ""-6449891932967810179""
* ",1
113," is replaced by ""-3663004104512304532""
* ",1
114,": This placeholder represents the name of the block being added to the map.
* ",8
115,": This placeholder can be replaced with any value, in this case, it is ",3
116," is replaced by ""blk_939695665085237271""
* ",1
117," is replaced by ""-3990317238913332296""
* ",1
