,EventTemplate,Occurrences
0,Please provide the extracted template.,525
1,<*> open through proxy <*> HTTPS,461
2,Please provide the template of the log message.,346
3,Please provide the output of the template delimited by backticks.,134
4,"Note: The placeholders are case-sensitive, and the order of the placeholders in the template may vary depending on the log message.",119
5,Note: The log messages are generated randomly and may not always follow the given templates exactly.,53
6,"Note: The placeholders are case-sensitive, and the order of the placeholders in the template may be different from the order they appear in the log message.",47
7,"Note: The log messages are generated by a tool, so the format of the log messages may vary.",27
8,Note: The log messages are generated randomly and may not always follow the given templates.,24
9,"Note: The placeholders are case-sensitive, and the order of the placeholders in the template is important.",20
10,"Note: The placeholders are case-sensitive, and the order of the placeholders in the template may not be the same as the order they appear in the log message.",19
11,"Note: The log message may contain multiple variables, and you must separate them with backticks.",18
12,"Note: The log messages are generated by a tool that logs the network traffic of your system, and they may contain sensitive information like IP addresses or URLs. Please handle them with care and avoid sharing them publicly.",15
13,Note: The log messages are generated by a tool that simulates network traffic and may not reflect real-world usage patterns or errors.,14
14,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",13
15,Note: The log message may contain multiple templates separated by newlines or spaces. Please handle them accordingly.,13
16,Note: The placeholders are case-sensitive and must be used as is.,12
17,"What is the output? Note: The output will be a string delimited by backticks, containing the template of the log message.",11
18,"Note: The log messages are generated by a tool that logs the network traffic of your system, and they may contain sensitive information like IP addresses or URLs. Please be cautious when handling such information.",10
19,Note: The log messages are generated by a tool that simulates network traffic and can be modified to test different scenarios.,9
20,Note: The log messages are generated by a proxy server and contain information about the connections established through it.,9
21,"Note: The log messages are generated by a tool that simulates network traffic, so the format of the log messages may vary depending on the tool and the network conditions.",9
22,Note: The log messages are generated randomly and may not always follow the same format.,6
23,"Note: The log messages are generated by a tool that logs the traffic of your network, you can use this tool to generate more log messages and practice with different templates.",5
24,"Note: The log message may contain multiple templates, separated by newlines or spaces. You must extract each template and print it delimited by backticks.",5
25,log,4
26,"Note: The log message may contain multiple templates, separated by newlines or spaces. You should print only the first template found in the log message.",4
27,"Note: The log message may contain multiple templates, separated by newlines or other delimiters. Please handle each template case appropriately.",4
28,"Note: The log messages are generated by a tool that you have not provided, so the templates may not be exactly what you expect.",4
29,"Note: The log message may contain multiple variables, but you only need to extract the template for the given variable.",3
30,"Note: The log messages are generated by a tool that simulates network traffic and may contain placeholders for various information such as IP addresses, port numbers, and timestamps.",3
31,"Note: The log messages are generated by a tool that logs the connections made by a proxy server. The log messages contain information about the client IP address, the port number, the protocol used, the amount of data sent and received, and the duration of the connection.",3
32,"Note: The log messages are generated by a tool that simulates network traffic and may contain placeholders for various information such as IP addresses, hostnames, port numbers, and HTTP status codes.",3
33,"Note: The log messages are not always in the same format, so you may need to adjust the templates accordingly.",3
