,EventTemplate,Occurrences
0,"Note: The placeholders are case-sensitive, so make sure to use the correct casing when replacing them with their corresponding values.",697
1,"synchronized to <*>, stratum <*>",570
2,ib_sm_sweep.c:<*>: ********************** NEW SWEEP ********************,62
3,ib_sm_sweep.c:<*>: No topology change,62
4,ib_sm_sweep.c:<*>: No configuration change required,62
5,data_thread (<*>): got not answer from any <*>,60
6,<*>,47
7,data_thread (<*>): got not answer from any <*> datasource,32
8,Please provide the output of the template delimited by backticks.,32
9,data_thread (<*>): got not answer from any [Thunderbird_B3] datasource,30
10,session closed (<*>),24
11,"Please note that the placeholders are not necessarily in the same order as the original log message, and some placeholders may be empty or missing.",20
12,removing <*>,18
13,: This placeholder represents the process ID of the system that generated the log message. *,15
14,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11
15,unable to qualify <*> -- using short name,10
16,"to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>], dsn=<*>, stat=Deferred: Connection refused by <*>",10
17,Please provide the log message template delimited by backticks.,10
18,DHCPREQUEST (<*>): unknown lease <*>.,9
19,Please provide the input log's template delimited by backticks.,8
20,"from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@localhost",6
21,Wait for <*> failed before probe !,6
22,DHCPDISCOVER (<*>): via <*>,5
23,DHCPOFFER (<*>): <*> via <*>,5
24,My (<*>) unknown; sleeping for retry,5
25,"Note: The placeholders are in lowercase, and the variables are in uppercase.",5
26,Physical Processor ID: <*>,5
27,"Reading included configuration file: <*>, [line=<*>]",5
28,LAPIC_NMI (<*>): high edge lint (<*>),4
29,": This part of the template indicates that the update was attempted with a time difference of at least one second from the previous update. Therefore, the log message can be abstracted as",4
30,"Please note that the templates are case sensitive, so make sure to match the case of the placeholders in the log message with the case of the variables in the template.",4
31,Please provide the log message delimited by backticks.,4
32,"from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>",4
33,Local (<*>),3
34,connection lost: {'connection': 'closed.'},3
35,DHCPACK (<*>): <*>,3
36,DHCPREQUEST (<*>): from <*> via <*>,3
37,Please provide the template of the log message.,3
38,"Please note that the templates are case-sensitive, so make sure to match the correct case when replacing variables with their corresponding values.",3
39,"PCI Interrupt Link (<*>): *0, disabled.",3
40,mounted <*> with ordered data mode.,3
41,Please provide the output of the log message template.,3
42,startup (<*>): succeeded,3
43,"Note: The placeholders are case-sensitive, so make sure to use the correct casing for the variables you want to extract.",2
44,IOAPIC (<*>): <*>,2
45,"apic_id <*>, version <*>, address <*>, GSI <*>",2
46,*,2
47,allocating <*> for <*>,2
48,"Note: The placeholders are case sensitive, so make sure to use the correct casing when replacing them with their corresponding values.",2
49,autorun (<*>) DONE.,2
50,autorun (<*>),2
51,"Note: The placeholders are not necessarily in the same order as the original log message, and some may be missing if they are not present in the log message.",2
52,connection (<*>),2
53,"User (<*>)#, coming from (<*>), authenticated.",2
54,Now running on,2
55,Please provide the template of the log message delimited by backticks.,2
56,succeeded,2
57,. *,2
58,kernel time sync disabled <*>,1
59,time (<*>),1
60,"Note: The placeholders are denoted in bold, and the variables are denoted in plain text.",1
61,kernel time sync enabled (<*>),1
62,bash (<*>) CMD (<*> a),1
63,bash (<*>) CMD (<*> b),1
64,bash (<*>) CMD (<*> d),1
65,bash (<*>) CMD (<*> e),1
66,"Please note that the templates are case sensitive, so make sure to match the case of the placeholders in the output.",1
67,(<*>),1
68,"Please note that the log messages are not always in a consistent format, and some may contain placeholders for variables that are not always present.",1
