,EventTemplate,Occurrences
0,<*>,232
1,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>), dockedStackBounds=Rect(<*>)",182
2,represents the name of the variable that is being set to,181
3,and,134
4,has a template of,85
5,"So, the variable",85
6,", and",77
7,is replaced with the value,70
8,updateDimmedActivatedHideSensitive overlap=<*>,65
9,"userActivityNoUpdateLocked: {eventTime=event, flags=uid}",48
10,is a placeholder for the actual value of the,42
11,shouldBlockLocation running <*>,37
12,"variable, which in this case is",33
13,"Here,",33
14,"{Acquiring suspend blocker ""PowerManagerService.WakeLocks""}",33
15,suspendAutohide <*>,23
16,"cancelNotification,index=-<*>",20
17,"acquire lock=<*> flags=<*> tag=""<*>"" name=""<*>"" ws=<*> uid=<*> pid=<*>",18
18,: The value of the,18
19,querySoundEffectsEnabled...,17
20,cancelAutohide=<*>,15
21,notifyUiVisibilityChanged:vis=<*> SystemUiVisibility=<*>,15
22,"userActivityNoUpdateLocked: {eventTime=eventTime, event=event, flags=flags, uid=uid}",15
23,: The value of,14
24,and separated by commas,14
25,*,14
26,: The bounds of the fullscreen stack. *,14
27,"release:lock=<*> flg=<*> tag=""<*>"" name=""<*>"" ws=<*> uid=<*> pid=<*>",13
28,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect({<*>, <*> - <*>, <*>}) dockedStackBounds=Rect({<*>, <*> - <*>, <*>})",13
29,,12
30,Where,12
31,closeQs = <*>,12
32,"""isMusicActive...""",12
33,Note that some of the variables have a placeholder value enclosed in curly braces,12
34,is a placeholder for the value of the variable,11
35,": The package name of the application that sent the notification (in this case, ""com.tencent.mobileqq""). *",11
36,"resumeSuspendedAutohide={vis, mask, oldVal, newVal, diff, fullscreenStackVis, dockedStackVis, fullscreenStackBounds, dockedStackBounds}",10
37,removeNotificationChildren={vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*>},10
38,The variables that can be extracted from this template are: *,9
39,cancelNotificationWithTag pid=<*> uid=<*> tag=<*> pkg=<*> id=<*>,9
40,getRecentTasks: topActivity=<*>,8
41,:,7
42,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=file:///storage/emulated/0/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }",7
43,: A bitmask representing the type of tasks to retrieve (<*> in this case). *,7
44,: The value of the key that was intercepted before queuing. *,6
45,": The user ID associated with the event. In this case, it's",6
46,: This variable represents the value of the,6
47,"Here, the variables are identified by their names in the log message, and the values are enclosed in curly braces",6
48,logNotificationVisibilityChanges runInThread start <*> <*> <*> <*> <*> <*> <*> <*> <*>,6
49,changeInFocus=<*> layoutBegin=<*>,6
50,": The value of this variable is <*>, which represents the user ID associated with this log message. *",6
51,is a variable that is being abstracted using the,6
52,"field is also replaced with its hexadecimal representation,",6
53,represents a placeholder for the value of the,5
54,with a value of,5
55,"acquire lock=<*> flags=<*> tag=""<*>"" name=""<*>"" ws={<*>} uid=<*> pid=<*>",5
56,: The value of this variable is,5
57,: The value of this variable is <*>. *,5
58,": This is the main message being logged. It contains information about the cause of the layout change (i.e., ""change in focus""). *",5
59,parameter is also,4
60,"Note that some of the variables have a placeholder value, which is denoted by the backticks (",4
61,": A boolean indicating whether the event has been canceled or not. In this case, it's set to",4
62,: A boolean indicating whether the key is being pressed down (<*>) or released (<*>). *,4
63,mHeadsUpExistenceChangedRunnable,4
64,"property, which will be passed as an argument to the template. The rest of the template is composed of placeholders for various properties and values, which will be replaced with the actual values when the template is rendered. These placeholders are enclosed in curly braces",4
65,variable contains the value,4
66,", which corresponds to the value",4
67,visible=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*> fullscreenStackBounds=Rect(<*>) dockedStackBounds=Rect(<*>),3
68,"acquire lock=<*> flags=<*> tag=""<*>"" name=""<*>"" ws={<*>} pid=<*>",3
69,": This variable represents the word ""in"" in the log message. *",3
70,"cancelNotification,index=<*>",3
71,is a placeholder for the value of the,3
72,: This is the name of the alarm that was received. *,3
73,is a variable that contains the value,3
74,"is the line number of the calling method, and",3
75,is a boolean indicating whether the screenshot is in rotation. *,3
76,getRingerMode...,3
77,variable is,3
78,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}} -- going to hide,2
79,": The value of this variable is an integer representing the user ID associated with this log message (in this case, <*>). *",2
80,"Application requested orientation <*>, got rotation <*> which has compatible metrics.",2
81,Note that the placeholders are enclosed in curly braces,2
82,getRingtonePlayer...,2
83,", which is represented by",2
84,", which is assigned the value",2
