,EventTemplate,Occurrences
0,PacketResponder 1 for {input},108
1,PacketResponder 0 for block {input},49
2,blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,1
3,PacketResponder 2,82
4,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,1
5,blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,1
6,blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,1
7,PacketResponder 2 for {input},21
8,Received block {{block}} of size {{size}} from {{ip}},19
9,blk_5402003568334525940,1
10,/10.251.30.6:33145,1
11,/10.251.111.130:49851,1
12,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,1
13,/10.251.75.228:53725,1
14,What is the template of the input log?,108
15,/10.251.123.1,1
16,blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,1
17,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,1
18,blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,1
19,/10.251.70.211,1
20,blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,1
21,/10.251.123.132:57542,1
22,/10.251.89.155,2
23,blk_-4980916519894289629,1
24,/10.251.31.180,1
25,/10.251.199.19:52622,1
26,/10.251.65.203,1
27,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,1
28,/10.251.194.129:37476,1
29,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,1
30,/10.251.203.80,2
31,/10.251.126.83,2
32,/10.251.214.225,2
33,blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,1
34,/10.251.65.237:34085,1
35,blk_4755566011267050000,1
36,3542967,1
