,EventTemplate,Occurrences
0,<*>,1020
1,data_thread() got not answer from any <*> datasource,334
2,{<*>},68
3,NEW SWEEP,62
4,No topology change,62
5,No configuration change required,62
6,<*> <*> <*>,24
7,session opened for <*> by ({uid=<*>}),19
8,A_net,15
9,({<*>}),14
10,unable to qualify <*>,10
11,PCI Interrupt Routing Table <*>,10
12,DHCPREQUEST for <*> (<*>) from <*>:e3:ba:c3 via eth1: unknown lease <*>.,9
13,"from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=",7
14,Wait for ready failed before probe !,6
15,remove <*>,6
16,How do you extract the template from this log message?,5
17,DHCPDISCOVER from <*>,5
18,DHCPOFFER on <*> to <*> via <*>,5
19,Output:,5
20,L2 cache: <*>,5
21,Trace cache: <*> L1 D cache: <*>,5
22,"<*> -> GSI <*> (level, low) -> IRQ <*>",4
23,"(""C"") <*>-<*> Netfilter core team",4
24,succeeded,4
25,data source name,4
26,Local disconnected: Connection closed.,3
27,'Connection closed.',3
28,What is the template of the input log message?,3
29,DHCPACK on <*> via eth1,3
30,DHCPREQUEST for <*> via <*>,3
31,<*>.rrd,3
32,(<*>),3
33,0x1,3
34,Processor <*> (supports <*>),3
35,ordered_data_mode,3
36,startup succeeded,3
37,) unknown;,2
38,<*>:0e.<*>,2
39,),2
40,Using <*>,2
41,allocating divert_blk for <*>,2
42,not allocating divert_blk for <*>,2
43,Intel(R) PRO/1000 Network Connection,2
44,DONE,2
45,RAID arrays.,2
46,autorun <*>: John <*>: <*> <*>: New York,2
47,"0x60,0x64",2
48,"connection from ""<*>""",2
49,"User <*>#, coming from <*>#, authenticated.",2
50,Now running on <*> privileges.,2
51,an3,2
52,This will output,2
53,Warning: we failed to resolve data source name,2
54,Expected output:,2
55,Reading included configuration file: <*>,2
56,removing daytime <*>,2
57,removing echo <*> <*>,2
58,<200511091901.jA9J1UvC004306@eadmin1>,1
59,"from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<200511091901.jA9J1WSU011176@badmin1>, relay=",1
60,START: tftp pid=<*> from=<*>,1
61,kernel time sync disabled <*>,1
62,time reset +<*>,1
63,Received <*> packets,1
64,LOCAL(<*>),1
65,kernel time sync enabled <*>,1
66,(<*>) CMD (<*> <*>),1
67,'(<*>) CMD (<*> b)',1
68,c,1
69,d,1
70,'(<*>) CMD (<*> e),1
71,) unknown; sleeping for retry,1
72,aadmin1,1
73,sleeping for retry,1
74,gpg_key,1
75,S0 S4 S5,1
76,DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,1
77,FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,1
78,HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,1
79,HPET id: 0xffffffff base: 0xfed00000,1
80,INT_SRC_OVR,1
81,"INT_SRC_OVR {bus=<*>, bus_irq=<*>, global_irq=<*>, high=level}",1
82,address[0xfec00000],1
83,address[0xfec80000],1
84,address[0xfec83000],1
85,IRQ0 used by override.,1
86,IRQ2 used by override.,1
87,IRQ9 used by override.,1
88,Interpreter enabled,1
89,0x01 0x00 enabled,1
90,0x02 0x06,1
91,0x03 0x01 enabled,1
92,0x04 0x07,1
93,0x,1
94,0xfee00000,1
95,MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724,1
96,MCFG (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd854,1
97,PCI Interrupt Link [LNKA] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>),1
98,<*> <*> <*> <*> <*> <*> *11 <*>,1
99,PCI Interrupt Link [LNKC] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>),1
100,PCI Interrupt Link [LNKD] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>),1
101,PCI Interrupt Link [LNKE] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>),1
102,PCI Interrupt Link [LNKF] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>),1
