,EventTemplate,Occurrences
0,proxy.cse.cuhk.edu.hk:<*> open through proxy <*> HTTPS,457
1,<*> open through proxy <*> <*>,137
2,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",110
3,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",103
4,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",63
5,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",56
6,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",37
7,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*> sec>",29
8,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*> sec>",25
9,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*> sec>",23
10,<*>.baidu.com:<*> open through proxy <*> HTTPS,21
11,<*>.google.com:<*> open through proxy <*> <*>,20
12,"<*>.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",16
13,api.github.com:<*> open through proxy <*> HTTPS,14
14,"api.github.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",14
15,"<*>.baidu.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",13
16,<*> open through proxy <*> HTTPS,12
17,"block.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",12
18,oimagea5.ydstatic.com:<*> error : A connection request was <*> before the <*>.,11
19,get.sogou.com:<*> open through proxy <*> <*>,11
20,"client-cf.dropbox.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",11
21,www.google.com:<*> open through proxy <*> <*>,11
22,"get.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",10
23,"www.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",10
24,bolt.dropbox.com:<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,10
25,"qbwup.imtt.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",9
26,"www.evernote.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",9
27,"<*>.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",8
28,client-<*> open through proxy <*> <*>,8
29,www.<*> open through proxy <*> <*>,7
30,"short.weixin.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",7
31,f-log-extension.grammarly.io:<*> open through proxy <*> HTTPS,7
32,<*>.githubusercontent.com:<*> open through proxy <*> <*>,7
33,"play.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",7
34,www.evernote.com:<*> open through proxy <*> HTTPS,7
35,__host__:__port__ open through proxy __proxy__:__proxy_port__ __protocol__,7
36,<*>.client-channel.google.com:<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,7
37,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",6
38,sclick.baidu.com:<*> open through proxy <*> <*>,6
39,ssl.gstatic.com:<*> open through proxy <*> HTTPS,6
40,"mtalk.google.com:<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",6
41,mtalk.google.com:<*> open through proxy <*> <*>,6
42,"hostname:port close, <*> bytes sent, <*> bytes received, lifetime <*>",6
43,"hostname:port close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",6
44,collector.githubapp.com:<*> open through proxy <*> HTTPS,6
45,play.google.com:<*> open through proxy <*> <*>,6
46,cidian.youdao.com:<*> open through proxy <*> <*>,5
47,eclick.baidu.com:<*> open through proxy <*> <*>,5
48,"safebrowsing.googleapis.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",5
49,cpro.baidustatic.com:<*> open through proxy <*> HTTPS,5
50,csi.gstatic.com:<*> open through proxy <*> HTTPS,5
51,block.dropbox.com:<*> open through proxy <*> HTTPS,5
52,"lh6.googleusercontent.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",5
53,suggestion.<*> open through proxy <*> <*>,5
54,"long.open.weixin.qq.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",5
55,"www.googleapis.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",5
56,"fonts.gstatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",5
57,"security.ie.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",5
58,fs-conn-doctor.qq.com:<*> open through proxy <*>:HTTPS,5
59,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> MB) received, lifetime <*>",4
