,EventTemplate,Occurrences
0,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",375
1,Got assigned task <*>,305
2,Running task <*> in stage <*> (TID <*>),305
3,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,300
4,Found block <*> locally,257
5,"Partition <*> not found, computing it",75
6,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",63
7,"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)",46
8,Started reading broadcast variable <*>,37
9,Reading broadcast variable <*> took <*> ms,37
10,"Block <*> stored as values in memory (estimated size <*>, free <*>)",37
11,File Output Committer Algorithm version is <*>,30
12,Saved output of task '<*>' to <*>,30
13,Input split: hdfs://<*>/<*>/<*>+<*>,22
14,Input split: <*>+<*>,22
15,<*>: <*>,17
16,<*>: Committed,13
17,Changing view acls to: <*>,2
18,"Changing modify acls to: <*>,<*>",2
19,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>),2
20,Successfully started service '<*>' on port <*>.,2
21,"Block <*> stored as bytes in memory (estimated size <*>, free <*> KB)",2
22,Registered signal handlers for [<*>],1
23,Slf4jLogger started,1
24,Starting remoting,1
25,Remoting started; listening on addresses :[<*>],1
26,Created local directory at <*>,1
27,MemoryStore started with capacity <*>,1
28,Connecting to driver: spark://<*>@<*>,1
29,Successfully registered with driver,1
30,Starting executor ID <*> on host <*>,1
31,Server created on <*>,1
32,Trying to register BlockManager,1
33,Registered <*>,1
34,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
35,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
36,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1
37,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
38,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
39,"Block <*> stored as bytes in memory (estimated size <*> KB, free <*> KB)",1
40,Input split: hdfs://<*>/<*>+<*>,1
