,EventTemplate,Occurrences
0,data_thread() got not answer from any <*>,717
1,"synchronized to <*>, stratum <*>",567
2,data_thread() got not answer from any <*> datasource,102
3,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,62
4,[ib_sm_sweep.c:<*>]: No topology change,62
5,[ib_sm_sweep.c:<*>]: No configuration change required,62
6,Warning: we failed to resolve data source name <*>,28
7,session closed for user <*>,24
8,session opened for user <*> by (uid=<*>),19
9,Reading included configuration file: <*> [file=<*>] [line=<*>],17
10,DHCPDISCOVER from <*> via <*>: <*>: no free leases,15
11,(<*>) CMD (<*>),14
12,"PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>",11
13,removing <*>,11
14,unable to qualify my own domain name (<*>) -- using short name,10
15,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),10
16,PCI Interrupt Routing Table [<*>],10
17,DHCPREQUEST for <*> (<*>) from <*> via <*>: unknown lease <*>.,9
18,"<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",6
19,Wait for ready failed before <*> !,6
20,DHCPDISCOVER from <*> via <*>,5
21,DHCPOFFER on <*> to <*> via <*>,5
22,My unqualified host name (<*>) unknown; sleeping for retry,5
23,L2 cache: <*>,5
24,Physical Processor ID: <*>,5
25,"Trace cache: <*> uops, L1 D cache: <*>",5
26,Registered protocol family <*>,5
27,"from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",4
28,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),4
29,LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),4
30,Processor [<*>] (supports <*>),4
31,Local disconnected: <*>.,3
32,connection lost: '<*>',3
33,"to=<*>, ctladdr=<*>, delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=<*>, dsn=<*>, stat=<*>",3
34,DHCPACK on <*> to <*> via <*>,3
35,DHCPREQUEST for <*> (<*>) from <*> via <*>,3
36,(<*>) CMD (<*> <*>),3
37,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3
38,mounted filesystem with ordered data mode.,3
39,"apic_id <*>, version <*>, address <*>, GSI <*>",3
40,(<*>) <*>-<*> <*> <*> <*>,3
41,registered new driver <*>,3
42,"<*>: to=<*>, ctladdr=<*> (<*>/<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",2
43,<*> CMD (<*> <*>),2
44,allocating divert_blk for <*>,2
45,not allocating divert_blk for non-ethernet device <*>,2
46,... autorun <*>.,2
47,Autodetecting RAID arrays.,2
48,autorun ...,2
49,"connection from ""<*>""",2
50,"User <*>, coming from <*>, authenticated.",2
51,Now running on <*>'s privileges.,2
52,Log template: `Warning: we failed to resolve data source name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
53,succeeded,2
54,removing chargen,2
55,"jA9J1Wd7019391: to=<*>, ctladdr=<*> (<*>/<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
56,"jA9J1WSU011176: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
57,"jA9J1WFE024258: to=<*>, ctladdr=<*> (<*>/<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
58,START: tftp pid=<*> from=<*>,1
59,RRD_update (<path>): illegal attempt to update using time <time> when last update time is <time> (minimum one second step),1
60,kernel time sync disabled <*>,1
61,time reset <*> s,1
62,Received SNMP packet(s) from <*>,1
63,"synchronized to LOCAL(<*>), stratum <*>",1
64,kernel time sync enabled <*>,1
65,CentOS-<*> (<*>),1
66,(supports <*> <*> <*>),1
67,DSDT (v001 <*> <*> <*> MSFT <*>) @ <*>,1
68,FADT (<*> <*> <*> <*> <*> <*>) @ <*>,1
69,HPET (<*> <*> <*> <*> <*> <*>) @ <*>,1
70,HPET id: <*> base: <*>,1
71,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),1
72,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*>),1
73,IRQ0 used by <*>.,1
74,<*> used by <*>.,1
75,<*> used by override.,1
76,Interpreter enabled,1
77,Local APIC address <*>,1
78,MADT (<*> <*> <*> <*> <*> <*>) @ <*>,1
79,MCFG (<*> <*> <*> <*> <*> <*>) @ <*>,1
80,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*>) <*>,1
81,PCI Interrupt Link [LNKB] (IRQs <*> <*> <*> <*> <*> <*> <*> ),1
82,PCI Interrupt Link [LNKC] (IRQs <*>) <*>,1
83,"PCI Interrupt Link [LNKD] (IRQs <*>) <*>, disabled.",1
84,"PCI Interrupt Link [LNKE] (IRQs <*>) <*>, <*>.",1
85,"PCI Interrupt Link [LNKF] (IRQs <*>) <*>, disabled.",1
86,"PCI Interrupt Link [LNKG] (IRQs <*>) <*>, <*>.",1
87,"PCI Interrupt Link [LNKH] (IRQs <*>) <*>, disabled.",1
88,PCI <*> Bridge [<*>] (<*>),1
89,Power Button (<*>) [<*>],1
90,RSDP (v000 <*> ) @ <*>,1
91,RSDT (<*> <*> <*> <*> <*> <*>) @ <*>,1
92,SPCR (<*> <*> <*> <*> <*> <*>) @ <*>,1
93,Subsystem revision <*>,1
94,Using IOAPIC for interrupt routing,1
95,Intel(R) Xeon(TM) CPU <*> stepping <*>,1
96,colour VGA+ <*>,1
97,"sys_ia32.c,v <*> <*> <*> ak Exp $",1
98,"routing cache hash table of <*> buckets, <*>",1
99,PCI Hot Plug PCI Core version: <*>,1
100,"<*>=LABEL=/ initrd=<*> console=tty0 console=ttyS0,<*> fastboot BOOT_IMAGE=<*>",1
101,Using software bounce buffering for IO (SWIOTLB),1
