,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{token=Token{ActivityRecord{u0  t}}}, allDrawn= , startingDisplayed = , startingMoved = , isRelaunching =",1
1,"acquire lock={}, flags={}, tag=""{}"", name={}, ws={}, uid={}, pid={}",26
2,"ready={},policy={},wakefulness={},wksummary={},uasummary={},bootcompleted={},boostinprogress={},waitmodeenable={},mode={},manual={},auto={},adj={},userId={}",199
3,Skipping AppWindowToken{} -- going to hide,4
4,{variable} is {module}.{function},1
5,{Action} is {Status},5
6,visible is system.charge.show,1
7,visible is system.call.count gt 0,1
8,visible is system.message.count gt 0,1
9,visible is {}.show,1
10,"release:lock={}, flg={}, tag=""{}"", name=""{}"", ws={}, uid={}, pid={}",19
11,"updateClipping isOverlap:{}, getTopPadding={}, Translation={}",65
12,updateDimmedActivatedHideSensitive overlap:{boolean},65
13,<method name>: <log message>,79
14,"release:lock=%d, flg=%#x, tag=""%s"", name=""%s"", ws=%s, uid=%d, pid=%d",7
15,"setSystemUiVisibility vis=%s mask=%s oldVal=%s newVal=%s diff=%s fullscreenStackVis=%s dockedStackVis=%s, fullscreenStackBounds=%s, dockedStackBounds=%s",14
16,There is no log template provided in this log message. It is simply a log message indicating the action of canceling autohide.,3
17,"notifyUiVisibilityChanged:vis=%vis%, SystemUiVisibility=%SystemUiVisibility%",5
18,Destroying surface Surface(name=SurfaceView - %s/%s) called by %s:%s %s:%s %s:%s %s:%s %s:%s,1
19,Destroying surface Surface(name={}) called by {}.,21
20,"userActivityNoUpdateLocked: eventTime=%d, event=%d, flags=%#x, uid=%d",69
21,"{action} is complete, call {method}",1
22,Screen frozen for +{duration} due to {window_info},1
23,{action} {status},1
24,{action}Animation {status},1
25,remove(PendingIntent{}) changed bounds; rebatching,2
26,"rotationForOrientationLw(orient=?, last=?); user=? USER_ROTATION_LOCKED",3
27,"Application requested orientation {}, got rotation {} which has compatible metrics",2
28,shouldBlockLocation running ...,37
29,shouldBlockLocation  ret:{},37
30,getNeighboringCellInfo calling app is {},5
31,"Releasing suspend blocker ""{blocker_name}"".",33
32,HBM brightnessIn ={},76
33,HBM brightnessOut ={},85
34,"Animating brightness: target={}, rate={}",85
35,{action},36
36,interceptKeyTq keycode=%d interactive=%b keyguardActive=%b policyFlags=%x down %b canceled %b,14
37,"interceptKeyBeforeQueueing: key {}, result : {}",14
38,There is not enough information to determine the log template from the given log message. A log template typically includes placeholders for variables or values that will be inserted into the log message at runtime.,8
39,querySoundEffectsEnabled...,17
40,"Acquiring suspend blocker ""{blocker_name}"".",33
41,"setSystemUiVisibility vis=%d mask=%x oldVal=%x newVal=%x diff=%x fullscreenStackVis=%d dockedStackVis=%d, fullscreenStackBounds=%s, dockedStackBounds=%s",5
42,There is no log template provided in this log message.,9
43,"notifyUiVisibilityChanged:vis=%s, SystemUiVisibility=%s",14
44,Bad activity token: {},1
45,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,1
46,"onTouchEvent::0, x={}, y={}",1
47,getRingtonePlayer...,2
48,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
49,"updateLightsLocked,mInCall = %s,mScreenOn = %s,ledNotification == null?%s",6
50,"updateLightsLocked,turn off notificationLight",6
