,EventTemplate,Occurrences
0,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>",199
1,N/A (There is no context or information provided in the log message to create a log template),181
2,"setSystemUiVisibility vis=%d mask=%d oldVal=%d newVal=%d diff=%d fullscreenStackVis=%d dockedStackVis=%d, fullscreenStackBounds=%s, dockedStackBounds=%s",181
3,HBM brightnessIn =<*>,85
4,HBM brightnessOut =<*>,85
5,"Animating brightness: target=<*>, rate=<*>",85
6,<method name>: <log message>,79
7,"userActivityNoUpdateLocked: eventTime=%d, event=%d, flags=%#x, uid=%d",69
8,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
9,updateDimmedActivatedHideSensitive overlap:<*>,65
10,"Skipping, withExcluded: <*>, tr.intent:<*>",56
11,<*>,42
12,shouldBlockLocation running ...,37
13,shouldBlockLocation ret:<*>,37
14,getTasks: caller %s does not hold REAL_GET_TASKS; limiting output,37
15,"Releasing suspend blocker ""<*>"".",33
16,"Acquiring suspend blocker ""<*>"".",33
17,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
18,Destroying surface Surface(name=<*>) called by <*>.,21
19,cancelPeek: <*>,20
20,"cancelNotificationWithTag pid %d,uid = %d,tag = %s,pkg =%s,id =%d",20
21,"<*>,index:<*>",20
22,"release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>",19
23,querySoundEffectsEnabled...,17
24,There is no log template provided in the given log message.,16
25,"setSystemUiVisibility vis=%s mask=%s oldVal=%s newVal=%s diff=%s fullscreenStackVis=%s dockedStackVis=%s, fullscreenStackBounds=%s, dockedStackBounds=%s",14
26,interceptKeyTq keycode=%d interactive=%b keyguardActive=%b policyFlags=%x down %b canceled %b,14
27,"interceptKeyBeforeQueueing: key <*>, result : <*>",14
28,"notifyUiVisibilityChanged:vis=%s, SystemUiVisibility=%s",14
29,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
30,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
31,"updateNotificationShade: total=<*>, active=<*>",13
32,"state.clipTopAmount:<*>, i:<*>",12
33,isMusicActive...,12
34,There is not enough information to determine the log template from the provided log message.,11
35,playSoundEffect effectType: <*>,10
36,getRecentTasks: topActivity=ComponentInfo{<package_name>/<activity_name>},10
37,There is no log template provided in this log message.,9
38,getLastAudibleStreamVolume treamType: <*>,9
39,There is not enough information to determine the log template from the given log message. A log template typically includes placeholders for variables or values that will be inserted into the log message at runtime.,8
40,<*> called,8
41,"animateCollapsePanels:flags=%d, force=%b, delayed=%b, mExpandedVisible=%b",8
42,"release:lock=%d, flg=%#x, tag=""%s"", name=""%s"", ws=%s, uid=%d, pid=%d",7
43,"Skipping, withExcluded: <*>, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }",7
44,<*> is <*>,6
45,"updateLightsLocked,mInCall = %s,mScreenOn = %s,ledNotification == null?%s",6
46,"updateLightsLocked,turn off notificationLight",6
47,logNotificationVisibilityChanges runInThread start,6
48,The change in focus caused us to need to do a layout begin,6
49,cleanUpApplicationRecord -- <*>,6
50,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
51,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
52,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=%d,6
