,EventTemplate,Occurrences
0,session closed for user {},24
1,session opened for user {} by (uid={}),19
2,(root) CMD (run-parts /etc/cron.hourly),14
3,{function_name}() got not answer from any [{data_source}] datasource,652
4,"synchronized to {ip_address}, stratum {stratum_level}",566
5,{function_name}() got not answer from any [{datasource_name}] datasource,167
6,[%s]: %s,186
7,Local disconnected: Connection closed.,3
8,connection lost: '{reason}',3
9,unable to qualify my own domain name ({domain_name}) -- using short name,10
10,"from=root, size=?, class=?, nrcpts=?, msgid=?, relay=?@localhost",7
11,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",1
12,"from=root, size=?, class=?, nrcpts=?, msgid=?, relay=?",3
13,"jA9J1Wd7019391: to=root, ctladdr=root (0/0), delay=%{delay}, xdelay=%{xdelay}, mailer=relay, pri=%{pri}, relay=[%{relay_ip}] [%{relay_hostname}], dsn=%{dsn}, stat=%{status_message}",1
14,"jA9J1WSU011176: to=root, ctladdr=root (0/0), delay=%{TIME}, xdelay=%{TIME}, mailer=relay, pri=%{INT}, relay=[%{IP}] [%{IP}], dsn=%{NUMBER}.%{NUMBER}.%{NUMBER}, stat=%{DATA}",1
15,"jA9J1WFE024258: to=root, ctladdr=root (0/0), delay=%{TIME}, xdelay=%{TIME}, mailer=relay, pri=%{INT}, relay=[%{IP}] [%{IP}], dsn=%{NUMBER}.%{NUMBER}.%{NUMBER}, stat=%{DATA}",1
16,DHCPDISCOVER from {} via {},4
17,DHCPOFFER on {IP} to {MAC} via {interface},5
18,"jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay=%{TIME:delay}, xdelay=%{TIME:xdelay}, mailer=%{WORD:mailer}, pri=%{NUMBER:pri}, relay=%{IP:relay}, dsn=%{NUMBER:dsn}, stat=%{GREEDYDATA:stat}",1
19,DHCPDISCOVER from {mac_address} via {interface}: network {network_name}: {message},15
20,DHCPACK on {IP} to {MAC} via {interface},3
21,DHCPREQUEST for {IP} ({IP}) from {MAC} via {INTERFACE},3
22,START: tftp pid={pid} from={ip},1
23,DHCPREQUEST for {IP} ({SERVER_IP}) from {MAC} via {INTERFACE}: {MESSAGE},9
24,DHCPDISCOVER from {MAC address} via {interface},1
25,RRD_update (/var/lib/ganglia/rrds/C Nodes/cn304/pkts_out.rrd): illegal attempt to update using time %d when last update time is %d (minimum one second step),1
26,kernel time sync disabled {},1
27,time reset +{time} s,1
28,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time %s when last update time is %s (minimum one second step),6
29,Received SNMP packet(s) from #.#,1
30,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time %d when last update time is %d (minimum one second step),2
31,"{action} to {location}({number}), stratum {level}",1
32,kernel time sync enabled {},1
33,"synchronized to #.#, stratum #",1
34,(root) CMD (/projects/tbird/temps/get_temps a),1
35,(root) CMD (/projects/tbird/temps/get_temps b),1
36,(root) CMD (/projects/tbird/temps/get_temps c),1
37,(root) CMD (/projects/tbird/temps/get_temps d),1
38,(root) CMD (/projects/tbird/temps/get_temps e),1
39,"""My unqualified host name ({hostname}) unknown; sleeping for retry""",5
40,{Operating System} ({Module}),1
41,(supports {} {} {}),1
42,DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,1
43,FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,1
44,HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,1
45,HPET id: {id} base: {base},1
46,INT_SRC_OVR (bus {} bus_irq {} global_irq {} dfl dfl),1
47,INT_SRC_OVR (bus {} bus_irq {} global_irq {} {} level),1
48,IOAPIC (id[{id}] address[{address}] gsi_base[{gsi_base}]),1
49,IOAPIC (id[{}] address[{}] gsi_base[{}]),2
50,{message},5
51,{Action} enabled,1
52,LAPIC (acpi_id[{acpi_id}] lapic_id[{lapic_id}] enabled),4
53,LAPIC_NMI (acpi_id[{}] high edge lint[{}]),3
54,LAPIC_NMI (acpi_id[{acpi_id}] high edge lint[{lint}]),1
55,Local APIC address {},1
56,MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724,1
57,MCFG (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd854,1
58,PCI Interrupt Link [LNKA] (IRQs {} {} {} {} {} {} {} {}) *{},1
59,PCI Interrupt Link [LNKB] (IRQs {} {} {} {} {} {} {} {}),1
60,PCI Interrupt Link [LNKC] (IRQs {} {} {} {} {} {} {} {}) *{},1
61,"PCI Interrupt Link [LNKD] (IRQs {}), *{}, disabled.",1
62,"PCI Interrupt Link [LNKE] (IRQs {}), *{}, disabled.",1
63,"PCI Interrupt Link [LNKF] (IRQs {} *{}, disabled.)",1
64,"PCI Interrupt Link [LNKG] (IRQs {}), *{}, disabled.",1
65,"PCI Interrupt Link [LNKH] (IRQs {}), *{}, disabled.",1
66,PCI Interrupt Routing Table [\_\SB\_.PCI0.PALO.DOBA.\_PRT],1
67,PCI Interrupt Routing Table [\_\SB\_.PCI0.PALO.DOBB.\_PRT],1
68,PCI Interrupt Routing Table [\_\SB\_.PCI0.PALO.\_PRT],1
69,PCI Interrupt Routing Table [\_\SB\_.PCI0.PBHI.PXB1.\_PRT],1
70,PCI Interrupt Routing Table [\_\SB\_.PCI0.PBHI.PXB2.\_PRT],1
71,PCI Interrupt Routing Table [\_\SB\_.PCI0.PBHI.\_PRT],1
72,PCI Interrupt Routing Table [\_\SB\_.PCI0.PBLO.\_PRT],1
73,PCI Interrupt Routing Table [\_\SB\_.PCI0.PICH.\_PRT],1
74,PCI Interrupt Routing Table [\_\SB\_.PCI0.VPR0.\_PRT],1
75,PCI Interrupt Routing Table [\_\SB\_.PCI0.\_PRT],1
76,PCI Root Bridge [PCI0] (00:00),1
77,"PCI interrupt [DEVICE][B] -> GSI [GSI] ([TRIGGER], [LEVEL]) -> IRQ [IRQ]",1
78,"PCI interrupt [DEVICE][A] -> GSI [GSI] (level, low) -> IRQ [IRQ]",3
79,"PCI interrupt %s -> GSI %s (%s, %s) -> IRQ %s",4
80,"PCI interrupt [DEVICE] -> GSI [GSI] (level, low) -> IRQ [IRQ]",2
81,"PCI interrupt %s -> GSI %d (%s, %s) -> IRQ %d",1
82,{Action} Button ({Button Code}) [{Button Name}],1
83,Processor [CPU0] (supports C1),1
84,Processor [CPU1] (supports C1),1
85,Processor [CPU%s] (supports C%s),1
86,Processor [CPU{}] (supports C1),1
87,RSDP (v000 %s ) @ %p,1
88,RSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd664,1
89,SPCR (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd7cc,1
90,Subsystem revision {},1
91,Using IOAPIC for interrupt routing,1
92,Intel(R) Xeon(TM) CPU {CPU Speed} stepping {Stepping Number},1
93,L2 cache: {}K,5
94,Physical Processor ID: {},5
95,"Trace cache: {} uops, L1 D cache: {}",5
96,colour VGA+ 80x25,1
97,{action} filesystem with {mode} data mode.,3
98,"sys_ia32.c,v 1.32 {date} {time} {user} {action} $",1
99,"apic_id {}, version {}, address {}, GSI {}-{}",3
100,"routing cache hash table of {} buckets, {}Kbytes",1
101,PCI Hot Plug PCI Core version: {},1
102,root=LABEL=/ initrd=... console=... fastboot BOOT_IMAGE=...,1
103,Registered protocol family {},5
104,Using software bounce buffering for IO (SWIOTLB),1
105,Probing PCI hardware (bus {}),1
106,Transparent bridge - {}.{}:{},1
107,Using ACPI for IRQ routing,1
108,Using MMCONFIG at {},1
109,Using configuration type {},1
