,EventTemplate,Occurrences
0,Loaded Servicing Stack v{version} with Core: {core_path},2
1,<timestamp> <log level> <function name> (<dll name> version <version number>) called (stack <stack trace>),3
2,"{Action} {Description}. 

In this case, the log template would be:

{Action} {Description}. 

And the log message would be an instance of this template:

Ending TrustedInstaller initialization.",1
3,Starting the TrustedInstaller main loop.,2
4,{Service} service starts successfully.,2
5,SQM: Initializing online with Windows opt-in: {0},2
6,SQM: Cleaning up report files older than 10 days.,2
7,SQM: Requesting upload of all unsent reports.,2
8,"SQM: Failed to start upload with file pattern: %s, flags: %s [HRESULT = %s]",2
9,SQM: Failed to start standard sample upload. [HRESULT = %HRESULT%],2
10,"SQM: Queued {number} file(s) for upload with pattern: {file_path}, flags: {flags}",2
11,SQM: Warning: Failed to upload all unsent reports. [HRESULT = %HRESULT%],2
12,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
13,{LogType}: {Message},2
14,<timestamp> <log_level> <function_name> (<additional_info>),2
15,"Creating NT transaction (seq %d), objectname [%d]""%s""",3
16,"Created NT transaction (seq %d) result %s, handle @%p",1
17,CSI perf trace:,3
18,"NonStart: {status}, {reason}.",2
19,{Action} processing thread terminated {Status},3
20,2021-10-01 10:30:00 CSI Store initialized,1
21,Session: {session_id} initialized by client {client_name}.,609
22,Warning: {message},264
23,Expecting attribute name [HRESULT = <HRESULT_CODE> - CBS_E_MANIFEST_INVALID_ITEM],181
24,Failed to get next element [HRESULT = {HRESULT}],224
25,Expecting attribute name [HRESULT = {HRESULT}],43
26,{Log level}: {Log message},16
27,Failed to internally open package. [HRESULT = {HRESULT}],18
28,"Read out cached package applicability for package: Package_for_KB3121255~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2
29,"Read out cached package applicability for package: {PackageID}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",364
30,"Read out cached package applicability for package: Package_for_KB3127220~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2
31,"Read out cached package applicability for package: Package_for_KB3060716~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2
32,"Read out cached package applicability for package: Package_for_KB{KBNumber}~{Architecture}~~{Version}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",25
