,EventTemplate,Occurrences
0,Session: <*> initialized by client <*>.,609
1,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>",406
2,Warning: <*>,264
3,Failed to get next element [HRESULT = <*>],224
4,Expecting attribute name [HRESULT = <HRESULT_CODE> - CBS_E_MANIFEST_INVALID_ITEM],181
5,Expecting attribute name [HRESULT = <*>],43
6,<*>: <*>,18
7,Failed to internally open package. [HRESULT = <*>],18
8,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState: <*>",6
9,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'.",6
10,"Read out cached package applicability for package: Package_for_KB2552343~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",4
11,<timestamp> <log level> <function name> (<dll name> version <version number>) called (stack <stack trace>),3
12,"Creating NT transaction (seq %d), objectname [%d]""%s""",3
13,CSI perf trace:,3
14,<*> processing thread terminated <*>,3
15,"Read out cached package applicability for package: Package_for_KB2574819~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",3
16,Loaded Servicing Stack <*> with Core: <*>,2
17,Starting the TrustedInstaller main loop.,2
18,<*> service starts successfully.,2
19,SQM: Initializing online with Windows opt-in: <*>,2
20,SQM: Cleaning up report files older than <*> days.,2
21,SQM: Requesting upload of all unsent reports.,2
22,"SQM: Failed to start upload with file pattern: %s, flags: %s [HRESULT = %s]",2
23,SQM: Failed to start standard sample upload. [HRESULT = %HRESULT%],2
24,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>",2
25,SQM: Warning: Failed to upload all unsent reports. [HRESULT = %HRESULT%],2
26,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
27,<timestamp> <log_level> <function_name> (<additional_info>),2
28,"NonStart: <*>, <*>.",2
29,"Read out cached package applicability for package: Package_for_KB3121255~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
30,"Read out cached package applicability for package: Package_for_KB3127220~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
31,"Read out cached package applicability for package: Package_for_KB3060716~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
32,"Read out cached package applicability for package: Package_for_KB3067903~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
33,"Read out cached package applicability for package: Package_for_KB3185319~31bf3856ad364e35~amd64~~11.<*>, ApplicableState: <*>, CurrentState:<*>",2
34,"Read out cached package applicability for package: Package_for_KB2978742~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
35,"Read out cached package applicability for package: Package_for_KB3055642~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
