,EventTemplate,Occurrences
0,"
printFreezingDisplayLogsopening app wtoken = AppWindowToken{...}
",1
1,"
acquire lock={lock} flags={flags} tag=""{tag}"" name=""{name}"" ws={null} uid={uid} pid={pid}
",12
2,"0
",199
3,"
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}} -- going to hide
",2
4,"
visible={vis}
mask={mask}
oldVal={oldVal}
newVal={newVal}
diff={diff}
fullscreenStackVis={fullscreenStackVis}
dockedStackVis={dockedStackVis}
fullscreenStackBounds=Rect({fullscreenStackBounds})
dockedStackBounds=Rect({dockedStackBounds})
",3
5, represents a placeholder for the value of the ,5
6,": The number of system calls made so far.

So, the full template would look like this: ",1
7," property, which is also a ",1
8,"
release:lock={lock} flg={flg} tag=""{tag}"" name=""{name}"" ws={ws} uid={uid} pid={pid}
",13
9,", and ",77
10,"
updateDimmedActivatedHideSensitive overlap={overlap}
",65
11, is replaced with the value ,70
12,": The value of this variable is an integer representing the user ID associated with this log message (in this case, 1000).
* ",2
13,"
setSystemUiVisibility vis={40000500} mask={ffffffff} oldVal={508} newVal={40000500} diff={40000008} fullscreenStackVis={0} dockedStackVis={0}, fullscreenStackBounds=Rect({0, 0 - 720, 1280}) dockedStackBounds=Rect({0, 0 - 0, 0})
",3
14,"
cancelAutohide={cancelAutohide}
",15
15,"
notifyUiVisibilityChanged:vis={vis} SystemUiVisibility={SystemUiVisibility}
",15
16,"
Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by {caller}
",1
17,"
{name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity}
",1
18, in this case). We use ,1
19,"
userActivityNoUpdateLocked: {eventTime=eventTime, event=event, flags=flags, uid=uid}
",15
20,".

So the template of the log message can be written as: ",1
21,"
Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity}
",1
22,"
startAnimation begin={startAnimation}
",1
23,"
startAnimation end
",1
24,"
remove({PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching
",1
25,"
",12
26,"
Application requested orientation {orientation}, got rotation {rotation} which has compatible metrics.
",2
27,"
shouldBlockLocation running {running}
",37
28," variable, which in this case is ",33
29, is a placeholder for the value of the variable ,11
30,": The value of this placeholder is the user ID of the user who released the object or resource.
* ",1
31,"
Here, ",33
32, has a template of ,85
33,"
So, the variable ",85
34, and ,134
35,"
userActivityNoUpdateLocked: {eventTime=event, flags=uid}
",48
36,"
suspendAutohide {suspendAutohide}
",23
37,: The value of ,14
38,": The value of the key that was intercepted before queuing.
* ",6
39,"
resumeSuspendedAutohide={vis, mask, oldVal, newVal, diff, fullscreenStackVis, dockedStackVis, fullscreenStackBounds, dockedStackBounds}
",10
40,"
querySoundEffectsEnabled...
",17
41,"
acquire lock={lock} flags={flags} tag=""{tag}"" name=""{name}"" ws={WorkSource{uid}} pid={pid}
",3
42,"
{Acquiring suspend blocker ""PowerManagerService.WakeLocks""}
",33
43,"
Note that the placeholders are enclosed in curly braces ",2
44,: The value of the ,18
45, parameter is also ,4
46,"
{activityToken=android.os.BinderProxy@2bd79ce}
",1
47,"
setSystemUiVisibility vis={vis} mask={mask} oldVal={oldVal} newVal={newVal} diff={diff} fullscreenStackVis={fullscreenStackVis} dockedStackVis={dockedStackVis}, fullscreenStackBounds=Rect({fullscreenStackBounds}), dockedStackBounds=Rect({dockedStackBounds})
",182
48,": The user ID associated with the event. In this case, it's ",6
49,": This placeholder represents the y-coordinate of the touch event. In this case, it is ",1
50,"
schedulePeek={peek}
",1
51,"
getRingtonePlayer...
",2
52,"
Note that some of the placeholders have a ",1
53,", which is represented by ",2
54,: This variable represents the value of the ,6
55,: ,7
56, with a value of ,5
57,"
setSystemUiVisibility vis={40000600} mask={ffffffff} oldVal={40000500} newVal={40000600} diff={300} fullscreenStackVis={0} dockedStackVis={0}, fullscreenStackBounds=Rect({0, 0 - 720, 1280}) dockedStackBounds=Rect({0, 0 - 0, 0})
",1
58,"
Where ",12
59,")
",1
60,": The name of the surface being destroyed.
* ",1
61,", which is represented by an empty string (",1
62, and separated from the placeholder with a comma ,1
63,", ",1
64,"
{cancelPeek}
",20
65,": A double representing the factor by which the collapse speed should be increased when the view is collapsed.
* ",1
66, is a placeholder for the actual value of the ,42
67,"
Here, the variables are identified by their names in the log message, and the values are enclosed in curly braces ",6
68,", which is assigned the value ",2
69,"
logNotificationVisibilityChanges runInThread start {vis} {mask} {oldVal} {newVal} {diff} {fullscreenStackVis} {dockedStackVis} {fullscreenStackBounds} {dockedStackBounds}
",6
70,"
The variables that can be extracted from this template are:

* ",9
71,": This variable represents the word ""in"" in the log message.
* ",3
72,"
{unregister callback for null}
",1
73,"
getMode... = {subId}
",1
