,EventTemplate,Occurrences
0,session closed for {user},24
1,session opened for {user} by ({uid=0}),19
2,CMD from {hour} via cron,14
3,data_thread() got not answer from any {datasources},819
4,Please provide the corresponding template.,569
5,NEW SWEEP from {address} via eth1,62
6,No topology change from {address} via eth1,62
7,No configuration change required from {address} via eth1,62
8,Local disconnected: Connection closed from {placeholders}.,3
9,connection lost: {'Connection closed.'},3
10,unable to qualify {domain_name} -- using short name,10
11,What is the template of the log message?,21
12,DHCPDISCOVER from {address} via eth1,11
13,DHCPOFFER from {address} via eth1,5
14,DHCPDISCOVER from {address} via eth1: network {network} no free leases,15
15,DHCPACK from {address} via eth1,3
16,DHCPREQUEST from {address} via eth1,3
17,Please provide the extracted template.,19
18,DHCPREQUEST from {address} via eth1: unknown lease {lease}.,9
19,RD_update ({address}/var/lib/ganglia/rrds/{node}/pkts_out.rrd): illegal attempt to update using time {time} when last update time is {last_time} (,2
20,kernel time sync disabled via eth0,1
21,time reset {timestamp},1
22,RRD_update ({address}/var/lib/ganglia/rrds/D Nodes/{node_name}/pkts_out.rrd): illegal attempt to update using time {time} when last update time is {last_update_time} (minimum one second step),3
23,#,3
24,RRD_update ({address}) via eth1,3
25,RRD_update ({time}) illegal attempt to update using {time} when last update time is {last_time} (minimum one second step),2
26,synchronized to {stratum} via eth1,1
27,"Note: The log messages may contain other information such as timestamps, hostnames, and IP addresses, but for this challenge, we will focus on extracting the template from the given log message.",1
28,"Note: The log messages may vary in format and content, so you must be flexible in your approach.",25
29,CMD from {address} via eth1,4
30,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,12
31,My unqualified host name ({address}) unknown; sleeping for retry,1
32,My unqualified host name ({unqualified_host_name}) unknown; sleeping for retry,4
33,"Note: The log messages are not always in the same format, so you may need to adjust the template depending on the input.",7
34,S0 S4 S5,1
35,DSDT from {address} via eth1,1
36,Please provide the template of the log message.,10
37,HPET from {address} via eth1,1
38,HPET id: {base},1
39,"Note: The log messages may contain non-printable characters, so you must use the appropriate escaping mechanisms to handle them correctly.",1
