,LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
0,1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,E23,Please provide the output of the template delimited by backticks.
1,2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),E13,Please provide the output of the template delimited by backticks.
2,3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),E13,Please provide the output of the template delimited by backticks.
3,4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),E13,Please provide the output of the template delimited by backticks.
4,5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,E17,Please provide the output of the abstracted variables.
5,6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,E44,"What is the output?

Note: The output will be a string, so please make sure to use the correct syntax when printing it."
6,7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,E48,Please provide the output of the abstracted variables.
7,8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,E40,Please provide the output of the abstracted variables.
8,9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,E37,Please provide the output of the abstracted variables.
9,10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,E42,Please provide the output for this log message.
10,11,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",E39,Please provide the output of the abstracted log message.
11,12,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],E38,Please provide the output of the abstracted template.
12,13,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",E41,"SQM: Queued {files} for upload with pattern: {pattern}, flags: {flags}."
13,14,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],E43,SQM: Warning: Failed to upload all unsent reports. [HRESULT = {result} - E_FAIL]
14,15,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",E25,Please provide the output of the abstracted variables.
