,EventTemplate,Occurrences
0,ok /etc/httpd/conf/workers2.properties,569
1,"{""workerEnv"": ""in error state 6""}",369
2,Found child {6725} in scoreboard slot {10},1
3,scoreboard slot 8,194
4,scoreboard slot 6,183
5,Found child {6736} in scoreboard slot {10},1
6,scoreboard slot 7,190
7,scoreboard slot 9,111
8,workerEnv,165
9,Found child {6744} in scoreboard slot {10},1
10,Found child {6752} in scoreboard slot {10},1
11,scoreboard slot 10,58
12,scoreboard slot 11,8
13,scoreboard slot 12,5
14,"[""Directory index forbidden by rule: /var/www/html/""]",10
15,Found child {32347} in scoreboard slot {6},1
16,Found child {32353} in scoreboard slot {10},1
17,Found child {32360} in scoreboard slot {11},1
18,Found child {32355} in scoreboard slot {7},1
19,slot 9,48
20,Found child {child} in scoreboard slot {slot},3
21,slot 7,3
22,Found child {scoreboard_slot},2
23,Found child {child_number} in scoreboard slot {slot_number},2
24,Found child {32457} in scoreboard slot {6},1
25,Found child {32478} in scoreboard slot {11},1
26,Found child {32529} in scoreboard slot {6},1
27,Found child {32528} in scoreboard slot {10},1
28,Found child {32577} in scoreboard slot {11},1
29,Found child {32579} in scoreboard slot {9},1
30,workerEnv in error state {10},5
31,Found child {32587} in scoreboard slot {10},1
32,Found child {32623} in scoreboard slot {11},1
33,Found child {32629} in scoreboard slot {10},1
34,Found child 32658 in scoreboard slot 10,1
35,Found child {32688} in scoreboard slot {11},1
36,Found child 32754 in scoreboard slot 11,1
37,Directory index forbidden by rule:/var/www/html/,14
38,147.31.138.75 rule /var/www/html/,1
39,backticks,1
40,Directory index forbidden by rule: /var/www/html/,2
41,"{""scoreboard"": ""Can't find child 1566""}",1
42,"{""scoreboard"": ""Can't find child 1567""}",1
43,scoreboard slot 13,3
44,module_jk child_init 1 -2,12
45,Found child {1821} in scoreboard slot {6},1
46,Found child 1915 in scoreboard slot 6,1
47,"
""jk2_init() Can't find child {input}""
",1
48,"
Can't find child {2085} in scoreboard
",1
49,scoreboard,5
50,"
Can't find child {2087} in scoreboard
",1
51,168.20.198.21 rule /var/www/html/,1
52,Can't find {child} in {scoreboard},2
53,client 141.153.150.164,1
54,198.232.168.9 rule /var/www/html/,1
55,Found child 6039 in scoreboard slot 10,1
56,Found child {6115} in scoreboard slot {10},1
57,141.154.18.244 forbidden by rule /var/www/html/,1
58,Found child 6561 in scoreboard slot 10,1
59,Found child {6751} in scoreboard slot {10},1
