,EventTemplate,Occurrences
0,<*>,506
1,PacketResponder <*> for <*>,176
2,NameSystem.delete: <*>,134
3,What is the template of the input log?,108
4,NameSystem.delete: <*> is added to invalidSet of <*>,87
5,PacketResponder <*>,82
6,blockMap updated: <*> is added to blk_-<*> size <*>,74
7,Got exception while serving <*>,72
8,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_-<*> size <*>,70
9,PacketResponder <*> for block <*>,49
10,blk_-<*>,40
11,Received block {<*>} of size {<*>} from {<*>},30
12,/mnt/hadoop/dfs/data/current/,15
13,What is the template for the input log message?,14
14,/mnt/hadoop/dfs/data/current/subdir34/,11
15,/mnt/hadoop/dfs/data/current/subdir33/,8
16,/mnt/hadoop/dfs/data/current/subdir38/,8
17,What is the template of the input log message?,7
18,/mnt/hadoop/dfs/data/current/subdir1/,7
19,/mnt/hadoop/dfs/data/current/subdir15/,7
20,/mnt/hadoop/dfs/data/current/subdir36/,7
21,/mnt/hadoop/dfs/data/current/subdir27/,6
22,/mnt/hadoop/dfs/data/current/subdir29/,6
23,/mnt/hadoop/dfs/data/current/subdir32/,6
24,/mnt/hadoop/dfs/data/current/subdir26/,6
25,/mnt/hadoop/dfs/data/current/subdir39/,6
26,/mnt/hadoop/dfs/data/current/subdir57/,6
27,/mnt/hadoop/dfs/data/current/subdir24/,6
28,/mnt/hadoop/dfs/data/current/subdir35/,6
29,/mnt/hadoop/dfs/data/current/subdir18/,5
30,/mnt/hadoop/dfs/data/current/subdir42/,5
31,/mnt/hadoop/dfs/data/current/subdir0/,5
32,/mnt/hadoop/dfs/data/current/subdir30/,5
33,/mnt/hadoop/dfs/data/current/subdir40/,5
34,/mnt/hadoop/dfs/data/current/subdir16/,5
35,/mnt/hadoop/dfs/data/current/subdir46/,5
36,/mnt/hadoop/dfs/data/current/subdir31/,5
37,/mnt/hadoop/dfs/data/current/subdir19/,5
38,size <*> from <*>,5
39,/mnt/hadoop/dfs/data/current/subdir5/,4
40,Got exception while serving <*>:blk_-<*> to <*>:,4
41,/mnt/hadoop/dfs/data/current/subdir41/,4
42,/mnt/hadoop/dfs/data/current/subdir60/,4
43,/mnt/hadoop/dfs/data/current/subdir6/,4
44,/mnt/hadoop/dfs/data/current/subdir53/,4
45,/mnt/hadoop/dfs/data/current/subdir59/,4
46,/mnt/hadoop/dfs/data/current/subdir14/,4
47,/mnt/hadoop/dfs/data/current/subdir28/,4
48,/mnt/hadoop/dfs/data/current/subdir56/,4
49,blk_{<*>},4
50,/mnt/hadoop/dfs/data/current/subdir2/,4
51,/mnt/hadoop/dfs/data/current/subdir54/,4
52,$ <*>,3
53,PacketResponder <*> for block {<*>} terminating,3
54,/mnt/hadoop/dfs/data/current/subdir11/,3
55,/mnt/hadoop/dfs/data/current/subdir48/,3
56,/mnt/hadoop/dfs/data/current/subdir23/,3
57,/mnt/hadoop/dfs/data/current/subdir13/,3
58,/mnt/hadoop/dfs/data/current/subdir4/,3
59,/mnt/hadoop/dfs/data/current/subdir37/,3
60,/mnt/hadoop/dfs/data/current/subdir7/,3
61,/mnt/hadoop/dfs/data/current/subdir55/,3
62,<*>:Got exception while serving <*>,3
63,/mnt/hadoop/dfs/data/current/subdir10/,3
64,Received block <*> of size <*>,2
65,{<*>},2
66,/mnt/hadoop/dfs/data/current/subdir9/,2
67,/mnt/hadoop/dfs/data/current/subdir25/,2
68,/mnt/hadoop/dfs/data/current/subdir47/,2
69,/mnt/hadoop/dfs/data/current/subdir21/,2
70,/mnt/hadoop/dfs/data/current/subdir50/,2
71,/mnt/hadoop/dfs/data/current/subdir45/,2
72,block,2
73,/mnt/hadoop/dfs/data/current/subdir22/,2
74,/mnt/hadoop/dfs/data/current/subdir61/,2
75,/mnt/hadoop/dfs/data/current/subdir52/,2
76,/mnt/hadoop/dfs/data/current/subdir63/,2
77,/mnt/hadoop/dfs/data/current/subdir62/,2
78,/mnt/hadoop/dfs/data/current/subdir58/,2
79,/mnt/hadoop/dfs/data/current/subdir3/,2
80,/mnt/hadoop/dfs/data/current/subdir17/,2
81,/mnt/hadoop/dfs/data/current/subdir43/,2
82,blockMap updated: <*> is added to blk_7128370237687728475 size <*>,1
83,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_3050920587428079149 size <*>,1
84,blockMap updated: <*> is added to blk_7888946331804732825 size <*>,1
85,blockMap updated: <*> is added to blk_2377150260128098806 size <*>,1
86,blk_5402003568334525940,1
87,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_8015913224713045110 size <*>,1
