,EventTemplate,Occurrences
0,HTTPS,489
1,proxy.cse.cuhk.edu.hk:5070,166
2,"
Output: ",51
3,"
""proxy.cse.cuhk.edu.hk:5070 close, 445 bytes sent, 5174 bytes (5.05 KB) received, lifetime <1 sec]""
",1
4,What is the template for the input log message?,198
5,What is the template of the input log message?,23
6,"close, 408 bytes sent, 421 bytes received, lifetime 00:03",1
7, and ,10
8,What is the template for the input log?,124
9," are placeholders for the amount of data sent and received, respectively. The values are in bytes.
* ",7
10," are placeholders for the amount of data sent and received, respectively. These values are obtained by parsing the log message.
* ",1
11,": the amount of data received through the proxy server.
	+ ",1
12,": This is another variable that appears in the log message, represented as a number followed by the unit (in this case, ",1
13," are placeholders for the amount of data sent and received by the proxy server, respectively. These placeholders will be replaced with the actual values from the log message.
* ",1
14,".

So, the final template for the input log message is: ",4
15,", which will output ",1
16,"close, 952 bytes sent, 782 bytes received, lifetime 00:10",2
17,SOCKS5,2
18,"close, 809 bytes sent, 186 bytes received, lifetime 00:06",1
19,get.sogou.com:80,13
20,tcpconn.tencent.com:80,1
21,tcpconn6.tencent.com:443,2
22,tcpconn4.tencent.com:80 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy closed the connection unexpectedly.,1
23,"close, 415 bytes sent, 599 bytes received, lifetime 00:04",1
24,"close, 463 bytes sent, 426 bytes received, lifetime 00:09",1
25,What is the template of the input log?,9
26,"close, 877 bytes sent, 507 bytes received, lifetime 00:48",1
27,"close, 89652 bytes (87.5 KB) sent, 599249 bytes (585 KB) received, lifetime 37:51",1
28,tcpconn.tencent.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
29,tcpconn3.tencent.com:80,1
30,tcpconn3.tencent.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
31,tcpconn6.tencent.com:80,1
32,tcpconn6.tencent.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
33,tcpconn6.tencent.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
34,tcpconn3.tencent.com:443,1
35,"
$ {proxy_port}
",1
36,qmail.tencent.com:80,1
37,get.sogou.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,13
38,showxml.qq.com:80,1
39,2052.flash2-http.qq.com:80,1
40,"close, 493 bytes sent, 523 bytes received, lifetime 00:01",1
41,proxy.cse.cuhk.edu.hk:5070 HTTPS,27
42,impservice.dictapp.youdao.com:80,1
43,oimagec7.ydstatic.com:80,2
44,"Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 403",1
45,https://proxy.cse.cuhk.edu.hk:5070,48
46,91.190.218.40:443,1
47,91.190.218.125:80,1
48,91.190.216.125:443,1
49,24.135.95.248:443,1
50,91.190.216.212:443,1
51,86.99.222.235:443 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy closed the connection unexpectedly.,1
52,"close, 628 bytes sent, 466 bytes received, lifetime 00:01",1
53,"close, 530 bytes sent, 546 bytes received, lifetime 00:02",1
54,"close, 534 bytes sent, 388 bytes received, lifetime 00:05",1
55,"close, 542 bytes sent, 388 bytes received, lifetime 00:05",1
56,oimagea5.ydstatic.com:80,11
57,"close, 453 bytes sent, 352 bytes received, lifetime 00:02",1
58,"close, 555 bytes sent, 400 bytes received, lifetime 00:04",1
59,".

So, the final template for the input log message is ",1
60,": the amount of data received by the proxy server.
	+ ",2
61,"close, 941 bytes sent, 401 bytes received, lifetime 00:01",1
62," is the number of bytes received through the proxy server.
* ",1
63,"close, 643 bytes sent, 442 bytes received, lifetime 00:45",1
64,"error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 403",2
65,oimageb3.ydstatic.com:80,1
66,oimageb1.ydstatic.com:80,1
67,oimagea3.ydstatic.com:80,1
68,oimagec1.ydstatic.com:80,2
69,oimageb5.ydstatic.com:80,1
70,oimageb7.ydstatic.com:80,1
71,oimageb2.ydstatic.com:80,1
72,oimageb4.ydstatic.com:80,1
73,oimagec4.ydstatic.com:80,1
74,oimageb8.ydstatic.com:80,2
75,oimageb6.ydstatic.com:80,1
76,oimagea7.ydstatic.com:80,1
77,oimagec3.ydstatic.com:80,1
78,www.baidu.com:80,9
79,sclick.baidu.com:80 https://proxy.cse.cuhk.edu.hk:5070,6
80,ss.bdimg.com:80,4
81,t11.baidu.com:80,1
82,00:11,2
83,www.4399.cn:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS {http://www.example.com},1
84,ubmcmm.baidustatic.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2
85,proxy https://proxy.cse.cuhk.edu.hk:5070,1
86,eclick.baidu.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,3
87,proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,17
88,b1.bdstatic.com:80,3
89,pos.baidu.com:80,2
90,i9.baidu.com:80,5
91,xin.4399.cn:80,1
92,newsimg.5054399.com:80,1
93,comment.5054399.com:80,1
94,m.news.4399.com:80,1
95,www.4399.cn:80,1
96,baidu.com:80 https,3
97,timg.baidu.com:80,1
98,www.googletagservices.com:443,2
99,yt3.ggpht.com:443,1
100,"www.example.com:443 close, 1740 bytes (1.69 KB) sent, 21911 bytes (21.3 KB) received, lifetime 04:01",1
101,"close, 814 bytes sent, 4145 bytes (4.04 KB) received, lifetime 01:00",1
102,"
https://proxy.cse.cuhk.edu.hk/
",1
103,"close, 361 bytes sent, 4839 bytes (4.72 KB) received, lifetime 00:11",1
104,clients6.google.com:443,6
105,d.dropbox.com:443,2
106,static.doubleclick.net:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2
107,fonts.gstatic.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,4
108,t12.baidu.com:80 https proxy.cse.cuhk.edu.hk:5070,20
109,"
{url}
",2
110,c.baidu.com:80,1
111,t12.baidu.com:80,11
112,00:10,1
113,z13.cnzz.com:80,1
114,eclick.baidu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2
115,f10.baidu.com:80,1
116,1.78KB,1
117,eclick.baidu.com:80,2
118,news.4399.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2
119,video.5054399.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2
120,w.cnzz.com:80 https,1
121,www.4399.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS {http://www.example.com},1
122,cpro.baidustatic.com:443,2
123,www.4399.com:80,1
124,cnzz.mmstat.com:80,1
125,error : A connection request was canceled before the completion.,1
126,"www.example.com:443 close, 9034 bytes (8.82 KB) sent, 3696 bytes (3.60 KB) received, lifetime 07:26",1
127,"www.example.com:443 close, 30789 bytes (30.0 KB) sent, 164940 bytes (161 KB) received, lifetime 07:44",1
128,{{input}}:80,1
129,"
Template: {{log_message}}
",1
130,w.cnzz.com:80,1
131,client-lb.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,3
132,block.dropbox.com:443,12
133,"
{proxy} {port} {scheme} {host}
",13
134,www.example.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,6
135,notifications.google.com:443,4
136,apis.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,3
137,"{""clients6.google.com"": ""443"", ""proxy"": ""proxy.cse.cuhk.edu.hk"": ""5070""}",12
138,block.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,7
139,clientservices.googleapis.com:443,1
140,short.weixin.qq.com:80,8
141,info.pinyin.sogou.com:80,4
142,client-cf.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,8
143,"203.205.129.102:8080 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 403",1
144,203.205.146.15:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
145,ocsp_digicert_com_80,1
146,mail-attachment.googleusercontent.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
147,ssl.gstatic.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,6
148,static.adobelogin.com:443,1
149,impservice.dictapp.youdao.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
150,ogs.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
151,client-channel.google.com:443,2
152,"
Please provide a template to extract the corresponding variables.
",13
153,www.example.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,22
154,i9.baidu.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
155,newsapp.5054399.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
156,cbjs.baidu.com:80,1
157,bdimg.share.baidu.com:80,1
158,ubmcmm.baidustatic.com:80,2
159,00:21,1
160,c.cnzz.com:80,1
161,www.evernote.com:443,9
162,"mtalk.google.com:5228 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 403",6
163,"{""clients2.google.com"": ""443"", ""proxy.cse.cuhk.edu.hk"": ""5070""}",2
