,EventTemplate,Occurrences
0,HTTPS,489
1,What is the template for the input log message?,198
2,proxy.cse.cuhk.edu.hk:<*>,166
3,What is the template for the input log?,124
4,Output:,51
5,https://proxy.cse.cuhk.edu.hk:<*>,48
6,www.example.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,28
7,proxy.cse.cuhk.edu.hk:<*> HTTPS,27
8,What is the template of the input log message?,23
9,https://<*>,22
10,t12.baidu.com:<*> https proxy.cse.cuhk.edu.hk:<*>,20
11,"close, <*> bytes sent, <*> bytes received, lifetime <*>",18
12,proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,17
13,"www.example.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",16
14,<*> <*> <*> <*>,14
15,get.sogou.com:<*>,13
16,get.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,13
17,<*>,13
18,Please provide a template to extract the corresponding variables.,13
19,block.dropbox.com:<*>,12
20,"{""clients6.google.com"": ""<*>"", ""proxy"": ""proxy.cse.cuhk.edu.hk"": ""<*>""}",12
21,api.github.com:<*>,12
22,oimagea5.ydstatic.com:<*>,11
23,t12.baidu.com:<*>,11
24,and,10
25,bolt.dropbox.com:<*> error : Could not connect to proxy proxy.cse.cuhk.edu.hk:<*> - connection attempt failed with error <*>,10
26,What is the template of the input log?,9
27,www.baidu.com:<*>,9
28,"close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",9
29,www.evernote.com:<*>,9
30,{<*>},9
31,short.weixin.qq.com:<*>,8
32,client-cf.dropbox.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,8
33,"are placeholders for the amount of data sent and received, respectively. The values are in bytes. *",7
34,block.dropbox.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,7
35,"{""clients4.google.com"": ""<*>"", ""proxy.cse.cuhk.edu.hk"": ""<*>""}",7
36,security.ie.sogou.com:<*>,7
37,sclick.baidu.com:<*> https://proxy.cse.cuhk.edu.hk:<*>,6
38,clients6.google.com:<*>,6
39,<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,6
40,ssl.gstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,6
41,"mtalk.google.com:<*> error : Could not connect through proxy proxy.cse.cuhk.edu.hk:<*> - Proxy server cannot establish a connection with the target, status code <*>",6
42,mtalk.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,6
43,baidu.com:<*>,6
44,fonts.gstatic.com:<*>,6
45,<*>.client-channel.google.com:<*> error : Could not connect to proxy proxy.cse.cuhk.edu.hk:<*> - connection attempt failed with error <*>,6
46,eclick.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
47,i9.baidu.com:<*>,5
48,"{""clients"": ""<*>.google.com"", ""port"": ""<*>"", ""proxy"": ""proxy.cse.cuhk.edu.hk"", ""port_proxy"": ""<*>"", ""scheme"": ""HTTPS""}",5
49,"{""clients1.google.com"": ""<*>"", ""proxy"": ""proxy.cse.cuhk.edu.hk"": ""<*>""}",5
50,mtalk.google.com:<*>,5
51,clients4.google.com:<*>,5
52,play.google.com:<*>,5
53,info.pinyin.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
54,puui.qpic.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
55,fs-conn-doctor.qq.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
56,puui.qpic.cn:<*>,5
57,". So, the final template for the input log message is:",4
58,"close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",4
59,ss.bdimg.com:<*>,4
60,ubmcmm.baidustatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
61,fonts.gstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
62,notifications.google.com:<*>,4
63,info.pinyin.sogou.com:<*>,4
64,long.open.weixin.qq.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
65,github.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
