,EventTemplate,Occurrences
0,TERM{placeholders}HUP{placeholders}INT,1
1,view acls: {yarn curi},2
2,yarn{acls}curi,2
3,authentication disabled; ui acls disabled;,2
4,stopped,1
5,Starting remoting,1
6,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],1
7,Successfully started service 'sparkExecutorActorSystem' on port 55904.,1
8,/opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,1
9,MemoryStore started with capacity 17.7 GB,1
10,spark://{placeholders},1
11,driver_name={my_driver}&license_number={1234567890},1
12,2023-03-14 16:08:00 5 mesos-slave-07,1
13,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,1
14,Server created on 40984,1
15,Trying to register {block_manager},1
16, Registered BlockManager,1
17,Got assigned task {task_id},1
18,Got assigned task {task},1
19,Got assigned task {task_number},3
20,Running task 0.0 in stage 0.0 (TID {0}),1
21,Running task 2.0 in stage 0.0 (TID {2}),1
22,{{stage}} {{tid}},3
23,Running task 3.0 in stage 0.0 (TID {3}),1
24,Running task 4.0 in stage 0.0 (TID {4}),1
25,{{start}} {{variable}} {{end}},1
26,"bytes in memory (estimated size 5.2 KB, free 5.2 KB)",1
27,{{ Reading }},2
28,block broadcast_9 stored as values in memory estimated size 8.8 KB free 14.0 KB,1
29,computing it,59
30,"
Please enter a template for the log message:
",17
31,"
Backticks delimited output: ",4
32,": The size of the input log file, which is ",6
33,{{start}},1
34,"bytes in memory (estimated size 21.4 KB, free 35.4 KB)",1
35,Block broadcast_8 stored as values in memory,1
36,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
37,mapreduce.task.attempt.id,1
38,mapreduce.task.ismap,1
39,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
40,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
41,Started reading broadcast variable 0,1
42,block broadcast_0_piece0,1
43,Reading {input} took 21 ms,1
