,EventTemplate,Occurrences
0,user_name{placeholders} session_id{placeholders} reason{placeholders},24
1,session opened for {user} by ({uid=0}),19
2,({{placeholders}}),14
3,{placeholders},122
4,{Thunderbird_B8},31
5,data_thread() got not answer from any {Thunderbird_C5} datasource,30
6,10.100.20.250,188
7,10.100.28.250,35
8,10.100.24.250,18
9,{Thunderbird_B7},30
10,10.100.16.250,84
11,data_thread() got not answer from any {Thunderbird_A4} datasource,31
12,{Thunderbird_B4},31
13,data_thread() got not answer from any {Thunderbird_C8} datasource,30
14,10.100.18.250,86
15,NEW SWEEP,62
16,10.100.26.250,21
17,{Thunderbird_B3},30
18,{{input}},64
19,10.100.22.250,100
20,No topology change,62
21,No configuration change required,62
22,data_thread() got not answer from any {Thunderbird_A1} datasource,30
23,data_thread() got not answer from any {Thunderbird_C2} datasource,30
24,data_thread() got not answer from any {Thunderbird_A3} datasource,31
25,data_thread() got not answer from any {Thunderbird_A5} datasource,31
26,{Thunderbird_A6},30
27,Local disconnected: Connection closed.,3
28,'Connection closed.',3
29,{Thunderbird_B6},31
30,data_thread() got not answer from any {Thunderbird_C1} datasource,30
31,{Thunderbird_C4},31
32,data_thread() got not answer from any {Thunderbird_D7} datasource,30
33,{Thunderbird_A7},29
34,{Thunderbird_B5},30
35,data_thread() got not answer from any {Thunderbird_D4} datasource,30
36,{Thunderbird_C6},30
37,unable to qualify {input},10
38,<200511091901.jA9J1UvC004306@eadmin1>,1
39,How do you extract the template from this log message?,5
40,data_thread() got not answer from any {Thunderbird_A2} datasource,30
41,"from=root, size=1594553, class=0, nrcpts=1, msgid=",1
42,"from=root, size=1593894, class=0, nrcpts=1, msgid=<200511091901.jA9J1WSU011176@badmin1>, relay=",1
43,"from=root, size=1597080, class=0, nrcpts=1, msgid=",2
44,What is the template of the input log message?,3
45,DHCPDISCOVER from {placeholders},5
46,DHCPOFFER on {placeholders} to {placeholders} via {placeholders},5
47,"from=root, size=1595423, class=0, nrcpts=1, msgid=",1
48,A_net,15
49,DHCPACK on {placeholders} via eth1,3
50,DHCPREQUEST for {placeholders} via {interface},3
51,START: tftp pid=16563 from=10.100.4.251,1
52,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,9
53,10.100.30.250,10
54,10.100.14.250,7
55,10.100.12.250,7
56,"
Output: ",5
57,kernel time sync disabled {0041},1
58,time reset +{0.182379},1
59,DN{731}Pkts_out.rrd,2
60,Received {34} packets,1
61,10.100.10.250,8
62,LOCAL(0),1
63,kernel time sync enabled {0001},1
64,#3#,1
65,({placeholders}),3
66,(root) CMD (/projects/tbird/temps/get_temps {a}),1
67,'(root) CMD (/projects/tbird/temps/get_temps b)',1
68,c,1
69,d,1
70,'(root) CMD (/projects/tbird/temps/get_temps e),1
71,) unknown; sleeping for retry,1
72,aadmin1,1
73,) unknown;,2
74,sleeping for retry,1
75,gpg_key,1
76,S0 S4 S5,1
77,DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,1
78,FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,1
79,HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,1
80,HPET id: 0xffffffff base: 0xfed00000,1
81,INT_SRC_OVR,1
82,"INT_SRC_OVR {bus=0, bus_irq=9, global_irq=9, high=level}",1
83,address[0xfec00000],1
84,address[0xfec80000],1
85,address[0xfec83000],1
86,IRQ0 used by override.,1
87,IRQ2 used by override.,1
88,IRQ9 used by override.,1
89,Interpreter enabled,1
90,0x01 0x00 enabled,1
91,0x02 0x06,1
92,0x03 0x01 enabled,1
93,0x04 0x07,1
94,0x,1
95,0x1,3
96,0xfee00000,1
97,MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724,1
98,MCFG (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd854,1
99,PCI Interrupt Link [LNKA] (IRQs 3 4 5 6 7 10 11 12),1
100,3 4 5 6 7 10 *11 12,1
101,PCI Interrupt Link [LNKC] (IRQs 3 4 5 6 7 10 11 12),1
102,PCI Interrupt Link [LNKD] (IRQs 3 4 5 6 7 10 11 12),1
103,PCI Interrupt Link [LNKE] (IRQs 3 4 5 6 7 10 11 12),1
104,PCI Interrupt Link [LNKF] (IRQs 3 4 5 6 7 10 11 12),1
105,PCI Interrupt Link [LNKG] (IRQs 3 4 5 6 7 10 11 12),1
