,EventTemplate,Occurrences
0,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,314
1,PacketResponder <*> for block <*> terminating,311
2,Received block <*> of size <*> from <*>,292
3,Receiving block <*> src: <*> dest: <*>,292
4,Deleting block <*> file <*>,263
5,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,224
6,BLOCK* NameSystem.allocateBlock: <*>. <*>,115
7,IP_ADDRESS:PORT Served block BLOCK_ID to CLIENT_IP,59
8,IP:PORT:Got exception while serving <*> to <*>,39
9,<*>:Got exception while serving <*> to <*>:,30
10,Verification succeeded for <*>,20
11,IP:PORT Served block <*> to <*>,9
12,<*>:Got exception while serving <*> to <*>,9
13,BLOCK* ask <*> to delete <*>,5
14,IP_ADDRESS:PORT Served block BLOCK_NAME to CLIENT_IP,3
15,IP_ADDRESS:PORT Served block BLOCK_ID to FILE_PATH,3
16,IP:PORT Served block BLOCK_ID to CLIENT_IP,2
17,IP_ADDRESS:PORT Served block BLOCK_ID to <*>,2
18,Received block <*> src: <*> dest: <*> of size <*>,2
19,IP:PORT:Got exception while serving <*> to <*>:,1
20,IP:PORT Served block BLOCK_ID to DESTINATION_IP,1
21,<*>:Got exception while serving <*> to <*>/<*>:,1
22,IP_ADDRESS:PORT Starting thread to transfer block BLOCK_ID to IP_ADDRESS:PORT,1
23,<*> Served block <*> to <*>,1
24,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,1
