,EventTemplate,Occurrences
0,Registered signal handlers for [{signals}],1
1,Changing view acls to: {view_acls},2
2,"Changing modify acls to: {user1},{user2}",2
3,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({view_users}); users with modify permissions: Set({modify_users}),2
4,Slf4jLogger started,1
5,Starting remoting,1
6,Remoting started; listening on addresses :[{address}],1
7,Successfully started service '{service}' on port {port}.,1
8,Created local directory at {directory_path},1
9,MemoryStore started with capacity {capacity},1
10,Connecting to driver: spark://{scheduler}@{ip}:{port},1
11,Successfully registered with driver,1
12,Starting executor ID {executor_id} on host {host_name},1
13,Successfully started service '{service_name}' on port {port_number}.,1
14,Server created on {port},1
15,Trying to register BlockManager,1
16,Registered {component},1
17,Got assigned task {task_number},177
18,Running task {task} in stage {stage} (TID {tid}),267
19,Running task {task_id} in stage {stage_id} (TID {tid}),15
20,Started reading broadcast variable {variable},37
21,"Block {block_name} stored as bytes in memory (estimated size {size}, free {free_size})",1
22,Reading broadcast variable {variable} took {time} ms,37
23,"Block {block_name} stored as values in memory (estimated size {size_estimate}, free {free_memory})",2
24,"Partition {partition_name} not found, computing it",29
25,Input split: hdfs://{ip_address}:{port}/{directory}/{filename}:{line_number}+{byte_offset},3
26,Input split: hdfs://{ip_address}:{port}/{directory}/{filename}:{offset}+{length},3
27,Input split: {hdfs_path}:{start_offset}+{end_offset},2
28,Input split: hdfs://{ip_address}:{port}/{directory}/{filename}:{line_number}+{line_number},1
29,Input split: {hdfs_path}:{start_line}+{num_lines},2
30,"Block {block_name} stored as bytes in memory (estimated size {size}, free {free_space})",4
31,"Block {block_name} stored as values in memory (estimated size {size}, free {free_space})",34
32,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
33,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
34,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1
35,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
36,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
37,"Block {variable}_piece{variable} stored as bytes in memory (estimated size {variable}, free {variable})",8
38,"Block {block_name} stored as bytes in memory (estimated size {size_estimate}, free {free_memory})",2
39,"Block {string}_piece{int} stored as bytes in memory (estimated size {float} B, free {float} KB)",1
40,"Block {block_name} stored as bytes in memory (estimated size {size}, free {free_memory})",30
41,"Times: total = {total}, boot = {boot}, init = {init}, finish = {finish}",375
42,"Block {block_name} stored as bytes in memory (estimated size {size} B, free {free_memory} KB)",13
43,"Block {block_name} stored as bytes in memory (estimated size {size} B, free {memory} KB)",20
44,Finished task {task} in stage {stage} (TID {tid}). {bytes} bytes result sent to driver,217
45,Finished task {task_id} in stage {stage_id} (TID {tid}). {result_size} bytes result sent to driver,81
46,Found block {block_name} locally,257
47,Got assigned task {task_id},128
48,"Block broadcast_{num}_piece{piece_num} stored as bytes in memory (estimated size {size}, free {free_space})",8
49,Running task {task_number} in stage {stage_number} (TID {tid}),23
50,Finished task {task_num} in stage {stage_num} (TID {tid}). {result_size} bytes result sent to driver,2
51,"Block broadcast_{id}_piece{piece_num} stored as bytes in memory (estimated size {size}, free {free_space})",3
52,"Partition {rdd}_{num} not found, computing it",31
53,"Partition {rdd_name} not found, computing it",1
54,"Block broadcast_{num}_piece{piece_num} stored as bytes in memory (estimated size {size}, free {free_space} KB)",2
55,"Block broadcast_{num}_piece{piece_num} stored as bytes in memory (estimated size {size} KB, free {free} KB)",1
56,"Block {block_name} stored as bytes in memory (estimated size {size_estimate} B, free {free_memory} KB)",4
57,"Block broadcast_{piece_num}_piece{piece_id} stored as bytes in memory (estimated size {size}, free {free_space})",2
58,"Block {variable1}_piece{variable2} stored as bytes in memory (estimated size {variable3}, free {variable4})",1
59,"Block {block_name} stored as values in memory (estimated size {size}, free {free_memory})",1
60,"Block broadcast_{num}_piece{piece} stored as bytes in memory (estimated size {size}, free {free})",1
61,"Block {block_name} stored as bytes in memory (estimated size {size_estimate} B, free {memory_free} KB)",1
62,File Output Committer Algorithm version is {version},30
63,Saved output of task '{task_id}' to {hdfs_path},12
64,Saved output of task '{task_id}' to {output_location},18
65,attempt_{date}_{job_id}_{task_type}_{task_num}_{status}: {message},2
66,attempt_{date}_{task}_m_{attempt}_998: Committed,1
67,attempt_{date}_{job_id}_{task_type}_{task_num}_{attempt_num}: {message},3
68,attempt_{date}_{task}_m_{task_id}_{number}: {message},1
69,attempt_{date}_{job_id}_m_{task_id}_{task_attempt}: Committed,4
70,attempt_{date}_{job_id}_m_{task_id}_{attempt_id}: Committed,7
71,attempt_{date}_{task_type}_{task_id}_{attempt_id}: {message},1
72,attempt_{date}_{job_id}_{task_type}_{task_id}_{status}: {message},2
73,attempt_{date}_{job_id}_m_{task_id}_{time}: Committed,1
74,attempt_{date}_{time}_{attempt_num}_m_{task_num}_{status}: {message},1
75,attempt_{date}_{task_type}_{task_id}_{attempt_num}: {message},1
76,attempt_{date}_{time}_{attempt_num}_m_{task_num}_{task_attempt}: {message},1
77,attempt_{date}_{task_type}_{task_id}_{attempt_id}_{status}: {message},3
78,attempt_{date}_{task_type}_{task_id}_{attempt_num}_{status}: {message},2
79,"Partition {rdd}_{num1}_{num2} not found, computing it",14
80,Input split: hdfs://{ip_address}:{port}/{directory}/{filename}:{line_number}+{offset},15
81,Input split: {hdfs_path}:{start_line}+{end_line},1
82,"Block broadcast_{piece_num}_piece{piece_id} stored as bytes in memory (estimated size {size}, free {free_memory})",2
83,"Block {rdd}_{num1}_{num2} stored as bytes in memory (estimated size {size} B, free {free} KB)",5
84,Input split: {hdfs_path}:{line_number}+{line_offset},1
85,Input split: {hdfs_path}:{line_number}+{byte_offset},13
86,"Block {rdd}_{num} stored as bytes in memory (estimated size {size} B, free {memory} KB)",1
87,Input split: hdfs://{ip_address}:{port}/{file_path}:{line_number}+{offset},1
88,"Block {rdd}_{num} stored as bytes in memory (estimated size {size}, free {memory})",1
89,"Block {rdd}_{num1}_{num2} stored as bytes in memory (estimated size {size} B, free {memory} KB)",1
90,Input split: {hdfs_path}:{timestamp}+{size},1
91,Input split: {hdfs_path}:{start_offset}+{length},1
92,Input split: {hdfs_path}:{start_position}+{length},1
