,EventTemplate,Occurrences
0,Loaded Servicing Stack v{version} with Core: {core_path},2
1,00000001@{date}:WcpInitialize (wcp.dll version {version}) called (stack @{stack}),2
2,00000002@{date}:WcpInitialize (wcp.dll version {version}) called (stack @{stack}),1
3,00000003@{date}:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @{stack1} @{stack2} @{stack3} @{stack4} @{stack5} @{stack6}),1
4,Ending TrustedInstaller initialization.,2
5,Starting the TrustedInstaller main loop.,2
6,TrustedInstaller service starts successfully.,2
7,SQM: Initializing online with Windows opt-in: {Boolean},2
8,SQM: Cleaning up report files older than {number_of_days} days.,2
9,SQM: Requesting upload of all unsent reports.,2
10,"SQM: Failed to start upload with file pattern: {file_pattern}, flags: {flags} [HRESULT = {HRESULT}]",2
11,SQM: Failed to start standard sample upload. [HRESULT = {HRESULT}],2
12,"SQM: Queued {count} file(s) for upload with pattern: {path}, flags: {flags}",2
13,SQM: Warning: Failed to upload all unsent reports. [HRESULT = {HRESULT} - E_FAIL],2
14,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
15,NonStart: Checking to ensure {placeholder} processing was not required.,2
16,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call {call_number}) (flags = {flags}, progress = {progress}, phase = {phase}, pdwDisposition = {pdw_disposition}",2
17,"Creating NT transaction (seq {seq}), objectname [{objectname_length}]""{objectname}""",3
18,"Created NT transaction (seq {seq}) result {result}, handle @{handle}",3
19,00000007@{date}:CSI perf trace:,1
20,"NonStart: {status}, startup processing {requirement} as expected.",2
21,Startup processing thread terminated normally,2
22,00000008 CSI Store {StoreID} ({StoreAddress}) initialized,1
23,Session: {session_id} initialized by client {client_name}.,609
24,Warning: Unrecognized {attribute} attribute.,280
25,Expecting attribute name [HRESULT = {HRESULT} - CBS_E_MANIFEST_INVALID_ITEM],224
26,Failed to get next element [HRESULT = {HRESULT} - {ERROR_DESCRIPTION}],202
27,Failed to get next element [HRESULT = {HRESULT} - CBS_E_MANIFEST_INVALID_ITEM],22
28,Failed to internally open package. [HRESULT = {HRESULT} - CBS_E_INVALID_PACKAGE],18
29,"Read out cached package applicability for package: Package_for_KB{KB_number}~{architecture}~~{version}, ApplicableState: {applicable_state}, CurrentState:{current_state}",34
30,"Read out cached package applicability for package: Package_for_KB{placeholder1}~{placeholder2}~{placeholder3}~~{placeholder4}, ApplicableState: {placeholder5}, CurrentState:{placeholder6}",302
31,"Read out cached package applicability for package: Package_for_{KBID}~{Architecture}~~{Version}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",24
32,"Read out cached package applicability for package: {PackageID}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",105
33,"Read out cached package applicability for package: Package_for_KB{placeholder1}~{placeholder2}~{placeholder3}~~{placeholder4}, ApplicableState: {placeholder5}, CurrentState:{placeholder5}",11
34,"Read out cached package applicability for package: Package_for_KB3055642~31bf3856ad364e35~amd64~~{version}, ApplicableState: {applicableState}, CurrentState:{currentState}",2
35,"Read out cached package applicability for package: Package_for_KB3078601~31bf3856ad364e35~amd64~~{version}, ApplicableState: {applicableState}, CurrentState:{currentState}",2
36,"Read out cached package applicability for package: Package_for_{KBNumber}~{Architecture}~~{Version}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",5
37,"Read out cached package applicability for package: Package_for_KB{placeholder1}~{placeholder2}~amd64~~{placeholder3}, ApplicableState: {placeholder4}, CurrentState:{placeholder4}",3
38,"Read out cached package applicability for package: Package_for_KB{KBNumber}~{Architecture}~~{Version}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",3
39,"Read out cached package applicability for package: Package_for_KB3059317~31bf3856ad364e35~amd64~~{version}, ApplicableState: {applicable_state}, CurrentState:{current_state}",1
40,"Read out cached package applicability for package: Package_for_KB{placeholder1}~{placeholder2}~{placeholder3}~{placeholder4}, ApplicableState: {placeholder5}, CurrentState:{placeholder6}",21
41,"Read out cached package applicability for package: Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-TopLevel~31bf3856ad364e35~amd64~~{version}, ApplicableState: {applicableState}, CurrentState:{currentState}",2
42,"Read out cached package applicability for package: {package_name}, ApplicableState: {applicable_state}, CurrentState:{current_state}",12
43,"Read out cached package applicability for package: Package_for_{KB}~{arch}~~{ver}, ApplicableState: {appState}, CurrentState:{curState}",4
44,"Read out cached package applicability for package: Package_for_KB3080079~31bf3856ad364e35~amd64~~{version}, ApplicableState: {applicableState}, CurrentState:{currentState}",2
45,"Read out cached package applicability for package: Package_for_KB947821~{var1}~{var2}~~{var3}, ApplicableState: {var4}, CurrentState:{var5}",2
46,"Read out cached package applicability for package: Package_for_KB{placeholder1}~31bf3856ad364e35~amd64~~{placeholder2}, ApplicableState: {placeholder3}, CurrentState:{placeholder3}",4
47,"Read out cached package applicability for package: Package_for_{placeholder1}~{placeholder2}~{placeholder3}~~{placeholder4}, ApplicableState: {placeholder5}, CurrentState:{placeholder5}",6
48,"Read out cached package applicability for package: Package_for_KB{KBID}~{Architecture}~~{Version}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",1
