,EventTemplate,Occurrences
0,jk2_init() Found child %d in scoreboard slot %d,817
1,mod_jk child workerEnv in error state %d,539
2,<*>() <*> <*>,294
3,<function_name>() <status> <file_path>,275
4,[client %s] Directory index forbidden by rule: %s,21
5,jk2_init() Found child <*> in scoreboard slot <*>,19
6,<*>() Can't find child <*> in scoreboard,12
7,mod_jk child init %d %d,12
8,[client %s] %s,4
9,[client %client_ip%] Directory index forbidden by rule: %directory_path%,3
10,[client %ip_address%] Directory index forbidden by rule: %directory_path%,2
11,[client %ip%] Directory index forbidden by rule: %directory%,1
12,[client %client_ip%] %error_message%: %file_path%,1
