,EventTemplate,Occurrences
0,<*>() got not answer from any [<*>] datasource,819
1,"synchronized to <*>, stratum <*>",566
2,[%s]: %s,186
3,session closed for user <*>,24
4,Warning: we failed to resolve data source name <*>,22
5,session opened for user <*> by (uid=<*>),19
6,Reading included configuration file: <*> [file=<*>] [line=<*>],16
7,DHCPDISCOVER from <*> via <*>: network <*>: <*>,15
8,(<*>) CMD (run-parts <*>),14
9,unable to qualify my own domain name (<*>) -- using short name,10
10,DHCPREQUEST for <*> (<*>) from <*> via <*>: <*>,9
11,"from=<*>, size=?, class=?, nrcpts=?, msgid=?, relay=?@localhost",7
12,RRD_update (<*> Nodes/dn731/pkts_out.rrd): illegal attempt to update using time %s when last update time is %s (minimum one second step),6
13,<*>,6
14,Wait for ready failed before probe !,6
