,EventTemplate,Occurrences
0,Loaded Servicing Stack v6.1.7601.23505 with Core: {placeholders},2
1,What is the template of the log message?,12
2,package_name,2
3,Starting the TrustedInstaller main loop. Package name,2
4,TrustedInstaller service starts successfully.{placeholders},2
5,Warning: Unrecognized packageExtended attribute.{placeholders},2
6,SQM: Cleaning up report files older than 10 days.{placeholders},2
7,SQM: Requesting upload of all unsent reports.{placeholders},2
8,{},2
9,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL},2
10,"SQM: Queued _all.sqm file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",2
11,SQM: Warning: Failed to upload all unsent reports. {HRESULT = 0x80004005 - E_FAIL},2
12,No startup processing required TrustedInstaller service was not set as autostart or else a reboot is still pending.,2
13,NonStart: Checking to ensure startup processing was not required. {placeholders},2
14,"IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",1
15,"Creating NT transaction (seq 1), objectname ",2
16,") result 0x00000000, handle ",2
17,csi-perf,2
18,"NonStart: Success, startup processing not required as expected. {placeholders}",2
19,{startup_processing_thread_terminated_normally},2
20,00000008 CSI Store initialized,1
21,Session: {30546173_4261722401} initialized by client WindowsUpdateAgent.,1
22,Session: {30546173_4262462443} initialized by client WindowsUpdateAgent.,1
23,Warning: {placeholders},280
24,Expecting attribute name ,224
25,Failed to get next element ,224
26,Session: {30546173_4267072707} initialized by client WindowsUpdateAgent.,1
27,Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE},18
28,Session: {30546173_4268042763} initialized by client WindowsUpdateAgent.,1
29,Session: {30546173_4271022933} initialized by client WindowsUpdateAgent.,1
30,Session: {30546173_4275933214} initialized by client WindowsUpdateAgent.,1
31,Session: {30546173_4280593480} initialized by client WindowsUpdateAgent.,1
32,Session: {30546173_4280603481} initialized by client WindowsUpdateAgent.,1
33,Session: {30546173_4280613482} initialized by client WindowsUpdateAgent.,1
34,Session: {30546173_4280613483} initialized by client WindowsUpdateAgent.,1
35,Session: {30546173_4280623482} initialized by client WindowsUpdateAgent.,1
36,Session: {30546173_4280633483} initialized by client WindowsUpdateAgent.,1
37,Session: {30546173_4280633484} initialized by client WindowsUpdateAgent.,1
38,Session: {30546173_4281313522} initialized by client WindowsUpdateAgent.,1
39,Session: {30546173_4285113739} initialized by client WindowsUpdateAgent.,1
40,"Read out cached package applicability for package: {placeholders}. ApplicableState: {applicable_state}, CurrentState: {current_state}",519
41,Session: {30546173_4286503818} initialized by client WindowsUpdateAgent.,1
42,Session: {30546173_4286853838} initialized by client WindowsUpdateAgent.,1
43,Session: {30546173_4286873840} initialized by client WindowsUpdateAgent.,1
44,Session: {30546173_4289083966} initialized by client WindowsUpdateAgent.,1
45,Session: {30546173_4289704001} initialized by client WindowsUpdateAgent.,1
46,Session: {30546173_4294144255} initialized by client WindowsUpdateAgent.,1
47,Session: {30546173_4294174257} initialized by client WindowsUpdateAgent.,1
48,Session: {30546174_187017} initialized by client WindowsUpdateAgent.,1
49,Session: {30546174_857056},1
50,Session: {30546174_1497092} initialized by client WindowsUpdateAgent.,1
51,Session: {30546174_1767108} initialized by client WindowsUpdateAgent.,1
52,Session: {30546174_2037123} initialized by client WindowsUpdateAgent.,1
53,Session: {30546174_2217133},1
54,Session: {30546174_2817168} initialized by client WindowsUpdateAgent.,1
55,Session: {30546174_8087469} initialized by client WindowsUpdateAgent.,1
56,{placeholders},3
57,Session: {30546174_9817568},1
58,Session: {30546174_9927574} initialized by client WindowsUpdateAgent.,1
59,Session: {30546174_10127586} initialized by client WindowsUpdateAgent.,1
60,Warning: Unrecognized packageExtended attribute.,196
61,Session: {30546174_17818026} initialized by client WindowsUpdateAgent.,1
62,"Read out cached package applicability for package: {placeholders}. ApplicableState: 0, CurrentState:0",22
63,Session: {30546174_18178046} initialized by client WindowsUpdateAgent.,1
64,Session: {30546174_20238164} initialized by client WindowsUpdateAgent.,1
65,Session: {30546174_20328169} initialized by client WindowsUpdateAgent.,1
66,Session: {30546174_20448176} initialized by client WindowsUpdateAgent.,1
67,Session: {30546174_20458177} initialized by client WindowsUpdateAgent.,1
68,Session: {30546174_20518180},1
69,Session: {30546174_20798196} initialized by client WindowsUpdateAgent.,1
70,Session: {30546174_21498236} initialized by client WindowsUpdateAgent.,1
71,Session: {30546174_21518237} initialized by client WindowsUpdateAgent.,1
72,Session: {30546174_21788253} initialized by client WindowsUpdateAgent.,1
73,Session: {30546174_21808254} initialized by client WindowsUpdateAgent.,1
74,Session: {30546174_21868257} initialized by client WindowsUpdateAgent.,1
75,Session: {30546174_21888258} initialized by client WindowsUpdateAgent.,1
76,Session: {30546174_21968263} initialized by client WindowsUpdateAgent.,1
77,Session: {30546174_22008265} initialized by client WindowsUpdateAgent.,1
78,Session: {30546174_22048268} initialized by client WindowsUpdateAgent.,1
79,Session: {30546174_22448291} initialized by client WindowsUpdateAgent.,1
80,Session: {30546174_22538296} initialized by client WindowsUpdateAgent.,1
81,Session: {30546174_22828312} initialized by client WindowsUpdateAgent.,1
82,Session: {30546174_23648359} initialized by client WindowsUpdateAgent.,1
83,Session: {30546174_23668360} initialized by client WindowsUpdateAgent.,1
84,Session: {30546174_23938376} initialized by client WindowsUpdateAgent.,1
85,Read out cached package applicability for package: {placeholders}.,2
86,Session: {30546174_24168389} initialized by client WindowsUpdateAgent.,1
87,Session: {30546174_25138444} initialized by client WindowsUpdateAgent.,1
88,Session: {30546174_25988493} initialized by client WindowsUpdateAgent.,1
89,Session: {30546174_27448577} initialized by client WindowsUpdateAgent.,1
90,Session: {30546174_27518581} initialized by client WindowsUpdateAgent.,1
91,Session: {30546174_27548582} initialized by client WindowsUpdateAgent.,1
92,Session: {30546174_27568583} initialized by client WindowsUpdateAgent.,1
93,Session: {30546174_27758594} initialized by client WindowsUpdateAgent.,1
94,Session: {30546174_27818598} initialized by client WindowsUpdateAgent.,1
95,Session: {30546174_28288625} initialized by client WindowsUpdateAgent.,1
96,Error: Package:,2
97,Session: {30546174_28528638} initialized by client WindowsUpdateAgent.,1
98,Session: {30546174_30478750} initialized by client WindowsUpdateAgent.,1
99,Session: {30546174_35199020} initialized by client WindowsUpdateAgent.,1
100,Session: {30546174_35469035} initialized by client WindowsUpdateAgent.,1
101,Session: {30546174_35509038} initialized by client WindowsUpdateAgent.,1
102,Session: {30546174_35659046} initialized by client WindowsUpdateAgent.,1
103,Session: {30546174_35689048} initialized by client WindowsUpdateAgent.,1
104,Session: {30546174_36019067} initialized by client WindowsUpdateAgent.,1
105,Session: {30546174_40939348} initialized by client WindowsUpdateAgent.,1
106,Session: {30546174_41309369} initialized by client WindowsUpdateAgent.,1
107,Session: {30546174_43049469} initialized by client WindowsUpdateAgent.,1
108,Session: {30546174_43479493} initialized by client WindowsUpdateAgent.,1
109,Session: {30546174_43599500} initialized by client WindowsUpdateAgent.,1
110,Session: {30546174_44469550} initialized by client WindowsUpdateAgent.,1
111,Session: {30546174_46439663} initialized by client WindowsUpdateAgent.,1
112,Session: {30546174_46879688} initialized by client WindowsUpdateAgent.,1
113,Session: {30546174_46979694} initialized by client WindowsUpdateAgent.,1
114,Session: {30546174_49059813} initialized by client WindowsUpdateAgent.,1
115,Session: {30546174_49089814} initialized by client WindowsUpdateAgent.,1
116,Session: {30546174_49109815} initialized by client WindowsUpdateAgent.,1
117,Session: {30546174_49119816} initialized by client WindowsUpdateAgent.,1
118,Session: {30546174_49199821} initialized by client WindowsUpdateAgent.,1
119,Session: {30546174_49899861} initialized by client WindowsUpdateAgent.,1
120,Session: {30546174_50419890} initialized by client WindowsUpdateAgent.,1
121,Session: {30546174_50799912} initialized by client WindowsUpdateAgent.,1
122,Session: {30546174_79961580} initialized by client WindowsUpdateAgent.,1
123,Session: {30546174_88342059} initialized by client WindowsUpdateAgent.,1
124,Session: {30546174_89122104} initialized by client WindowsUpdateAgent.,1
125,Session: {30546174_91002212} initialized by client WindowsUpdateAgent.,1
126,Session: {30546174_91422236} initialized by client WindowsUpdateAgent.,1
127,Session: {30546174_93642363} initialized by client WindowsUpdateAgent.,1
128,Session: {30546174_97982611} initialized by client WindowsUpdateAgent.,1
129,Session: {30546174_99402692} initialized by client WindowsUpdateAgent.,1
130,Session: {30546174_101632820} initialized by client WindowsUpdateAgent.,1
131,"

Expected output: ",4
132,Session: {30546174_101902835} initialized by client WindowsUpdateAgent.,1
133,Session: {30546174_102002841} initialized by client WindowsUpdateAgent.,1
134,Session: {30546174_102442866} initialized by client WindowsUpdateAgent.,1
135,Session: {30546174_107003127} initialized by client WindowsUpdateAgent.,1
136,Session: {30546174_108903235} initialized by client WindowsUpdateAgent.,1
137,Session: {30546174_138824947} initialized by client WindowsUpdateAgent.,1
