,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= {allDrawn}, startingDisplayed =  {startingDisplayed}, startingMoved =  {startingMoved}, isRelaunching =  {isRelaunching}",1
1,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",26
2,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj}userId={userId}",199
3,Skipping AppWindowToken{token={token} ActivityRecord={ActivityRecord}} -- going to hide,2
4,visible is system.time.showampm,1
5,mVisiblity.getValue is false,5
6,visible is system.charge.show,1
7,visible is system.call.count gt 0,1
8,visible is system.message.count gt 0,1
9,visible is system.ownerinfo.show,1
10,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}"", ws={ws}, uid={uid}, pid={pid}",17
11,"updateClipping isOverlap:{isOverlap}, getTopPadding={getTopPadding}, Translation={Translation}",65
12,updateDimmedActivatedHideSensitive overlap:false,52
13,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,24
14,"release:lock=... flg=... tag=""..."" name={name}"", ws={ws}, uid={uid}, pid={pid}",4
15,"setSystemUiVisibility vis={vis} mask={mask} oldVal={oldVal} newVal={newVal} diff={diff} fullscreenStackVis={fullscreenStackVis} dockedStackVis={dockedStackVis}, fullscreenStackBounds=Rect({fullscreenStackBounds}), dockedStackBounds=Rect({dockedStackBounds})",200
16,cancelAutohide,15
17,"notifyUiVisibilityChanged:vis={vis}, SystemUiVisibility={SystemUiVisibility}",19
18,Destroying surface Surface(name={name}) called by {caller}:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call,1
19,Destroying surface Surface(name={name}) called by {caller},16
20,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}"", ws=WorkSource{{{ws}}}, uid={uid}, pid={pid}",1
21,"userActivityNoUpdateLocked: eventTime={eventTime}, event={event}, flags={flags}, uid={uid}",69
22,"orientation change is complete, call stopFreezingDisplayLocked",1
23,Screen frozen for +{time}s{ms} due to {window},1
24,startAnimation begin,1
25,startAnimation end,1
26,remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,1
27,"rotationForOrientationLw(orient={orient}, last={last}); user={user} {message}",1
28,"Application requested orientation 1, got rotation 0 which has compatible metrics",2
29,shouldBlockLocation running ...,37
30,shouldBlockLocation  ret:{ret},36
31,getNeighboringCellInfo calling app is com.amap.android.ams,5
32,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
33,HBM brightnessIn ={brightnessIn},85
34,HBM brightnessOut ={brightnessOut},85
35,"Animating brightness: target={target}, rate={rate}",85
36,suspendAutohide,23
37,interceptKeyTq keycode={keycode} interactive={interactive} keyguardActive={keyguardActive} policyFlags={policyFlags} down {down} canceled {canceled},14
38,"interceptKeyBeforeQueueing: key {key} , result : {result}",14
39,resumeSuspendedAutohide,10
40,querySoundEffectsEnabled...,17
41,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
42,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,2
43,Bad activity token: {token},1
44,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,1
45,"onTouchEvent::{action}, x={x}, y={y}",2
46,schedulePeek,1
47,getRingtonePlayer...,2
48,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
49,"updateLightsLocked,mInCall ={mInCall},mScreenOn = {mScreenOn},ledNotification == null?{ledNotification}",6
50,"updateLightsLocked,turn off notificationLight",6
51,"overlapAmount:{overlapAmount}, previousNotificationEnd:{previousNotificationEnd}, newYTranslation:{newYTranslation}, location:{location}, i:{i}, getTopPadding:{getTopPadding}, getLocationOnScreen():{getLocationOnScreen}",13
52,"state.clipTopAmount:{clipTopAmount}, i:{i}",12
53,updateDimmedActivatedHideSensitive overlap:true,4
54,onExpandingStarted,2
