,EventTemplate,Occurrences
0,PacketResponder {block} terminating,311
1,BLOCK* NameSystem.addStoredBlock: {path} updated: {ip_address} is added to {block} size {size},80
2,Received block {block} of size {size} from {path},30
3,Receiving block {block} src: {src_path} dest: {dest_path},275
4,"Note: The log messages are not always in the same format, and some may have additional information or different syntax.",181
5,BLOCK* NameSystem.allocateBlock: {path} {block},115
6,Received block {block} of size {size} from {source},171
7,BLOCK* NameSystem.addStoredBlock: {path} updated: {ip_address}:{port} is added to {block} size {size},24
8,BLOCK* NameSystem.addStoredBlock: {ip_address} is added to {block} size {size},22
9,Received block {block} of size {size} from {ip_address}.,10
10,Verification succeeded for {block},18
11,Receiving block {path} src: {src_ip} dest: {dest_ip},13
12,"Note: The log messages are not always in the same format, and some may have different templates.",51
13,"Note: The log messages are not always in the same format, so you may need to adjust the templates accordingly.",29
14,Deleting block {block} file {path},263
15,10.251.194.213:Got exception while serving {block} to {destination}:,1
16,Served block {block} to {path},14
17,Served block {block} to {destination}:,9
18,10.250.{5|7}.*:50010 Served block {block} to {destination},1
19,10.251.30.85,2
20,10.251.{126|91}:Got exception while serving {block} to {destination}:,1
21,10.251.71.68:Got exception while serving {block} to {destination}:,1
22,10.251.{123|38}:Got exception while serving {block} to {destination}:,1
23,10.250.13.188,2
24,10.251.214.32:Got exception while serving {block} to {destination}:,1
25,10.251.199.19,1
26,10.250.9.207:Got exception while serving {block} to {destination}:,1
27,10.251.202.134:Got exception while serving {block} to {destination}:,1
28,10.250.{6|8}.{2|3}Got exception while serving {block} to {destination}:,1
29,10.250.14.196:Got exception while serving {block} to {destination}:,2
30,"10.251.{10,107}.227:Got exception while serving {block} to {destination}:",1
31,10.251.203.166:Got exception while serving {block} to {destination}:,1
32,10.251.90.64,1
33,10.250.10.{144}:Got exception while serving {block} to {destination}:,1
34,10.251.71.146:Got exception while serving {block} to {destination}:,1
35,10.251.67.113:Got exception while serving {block} to {destination}:,1
36,10.251.74.:Got exception while serving {block} to {destination}:,1
