,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{{placeholder1} token=Token{{placeholder2} ActivityRecord{{placeholder3} {placeholder4} {placeholder5} {placeholder6} {placeholder7}}}, allDrawn= {placeholder8}, startingDisplayed =  {placeholder9}, startingMoved =  {placeholder10}, isRelaunching =  {placeholder11}",1
1,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",26
2,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj},userId={userId}",138
3,Skipping AppWindowToken{${placeholder1} token=Token{${placeholder2} ActivityRecord{${placeholder3} ${placeholder4} t761}}} -- going to hide,1
4,visible is {variable},3
5,{} is {},5
6,visible is system.call.count gt {count},1
7,visible is system.message.count gt {number},1
8,"release:lock={lock}, flg={flag}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",1
9,Skipping AppWindowToken{${token} ActivityRecord{${activityRecord} ${packageName}/${activityName} t${taskId}}} -- going to hide,1
10,"updateClipping isOverlap:{}, getTopPadding={}, Translation={}",52
11,updateDimmedActivatedHideSensitive overlap:{overlap},65
12,getRunningAppProcesses: caller {caller} does not hold {permission}; limiting output,24
13,"release:lock={lock}, flg={flg}, tag=""{tag}"", name=""{name}"", ws={ws}, uid={uid}, pid={pid}",15
14,"setSystemUiVisibility vis={vis} mask={mask} oldVal={oldVal} newVal={newVal} diff={diff} fullscreenStackVis={fullscreenStackVis} dockedStackVis={dockedStackVis}, fullscreenStackBounds={fullscreenStackBounds}, dockedStackBounds={dockedStackBounds}",200
15,{}Autohide,38
16,"notifyUiVisibilityChanged:vis={vis}, SystemUiVisibility={SystemUiVisibility}",19
17,Destroying surface Surface(name={name}) called by {caller}:942 {method1}:3407 {method2}:225 android.view.IWindowSession$Stub.onTransact:398 {method3}:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call,1
18,Destroying surface Surface(name={name}) called by {caller},24
19,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",10
20,"userActivityNoUpdateLocked: eventTime={eventTime}, event={event}, flags={flags}, uid={uid}",69
21,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj}userId={userId}",61
22,"orientation change is complete, call {function}",1
23,Screen frozen for {duration} due to {window},1
24,startAnimation {action},1
25,startAnimation {variable} end,1
26,remove(PendingIntent{${placeholder}: PendingIntentRecord{${placeholder} ${placeholder} ${placeholder}}} changed bounds; rebatching),1
27,"rotationForOrientationLw(orient={orient}, last={last}); user={user} {message}",3
28,"Application requested orientation {orientation}, got rotation {rotation} which has compatible metrics",3
29,shouldBlockLocation running ...,35
30,shouldBlockLocation  ret:{},37
