,EventTemplate,Occurrences
0,proxy.cse.cuhk.edu.hk:5070 open through proxy {proxy_address} HTTPS,456
1,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",110
2,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",63
3,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({KB_received} KB) received, lifetime <{lifetime} sec>",5
4,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime <{lifetime} sec>",18
5,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",101
6,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes ({KB_sent} KB) sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",20
7,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",29
8,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",21
9,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",25
10,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes ({KB_sent} KB) sent, {bytes_received} bytes received, lifetime {lifetime}",35
11,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",9
12,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime}> sec",1
13,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({KB_received} KB) received, lifetime {lifetime}",7
14,{IP_ADDRESS}:{PORT} open through proxy {PROXY_TYPE} {PROXY_ADDRESS}:{PROXY_PORT} {PROXY_PROTOCOL},1
15,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes ({KB_sent} KB) sent, {bytes_received} bytes ({MB_received} MB) received, lifetime {lifetime}",2
16,"get.sogou.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",9
17,"tcpconn.{domain}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
18,tcpconn{num}.tencent.com:{port} error : {message},1
19,tcpconn{server}:{port} error : Could not connect through proxy {proxy} - Proxy closed the connection unexpectedly.,1
20,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes ({KB_sent} KB) sent, {bytes_received} bytes ({KB_received} KB) received, lifetime {lifetime}",2
21,"IP:PORT close, {SENT_BYTES} bytes ({SENT_KB} KB) sent, {RECEIVED_BYTES} bytes ({RECEIVED_KB} KB) received, lifetime {LIFETIME}",1
22,{IP_ADDRESS}:{PORT} open through proxy {PROXY_ADDRESS}:{PROXY_PORT} {PROTOCOL},4
23,{host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},87
24,"tcpconn{conn_num}.tencent.com:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
25,{IP}:443 open through proxy {proxy}:5070 HTTPS,4
26,"tcpconn{num}.tencent.com:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{time} sec>",2
27,{host}:443 open through proxy {proxy_host}:{proxy_port} HTTPS,5
28,{host}:{port} open through proxy {proxy} {protocol},2
29,"tcpconn{conn_num}.tencent.com:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",1
30,"cgi.qqweb.qq.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",1
31,cgi.qqweb.qq.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},1
32,"qqmail.tencent.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
33,get.sogou.com:80 open through proxy {proxy_address}:{proxy_port} HTTPS,2
34,"get.sogou.com:80 close, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
35,"showxml.qq.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime <{lifetime} sec>",1
36,"___.flash2-http.qq.com:___ close, ___ bytes sent, ___ bytes (___) received, lifetime <___ sec",1
37,cidian.youdao.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},5
38,"impservice.dictapp.youdao.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",1
39,oimagec7.ydstatic.com:80 error : A connection request was {action} before the {status}.,2
40,"formi.baidu.com:843 error : Could not connect through proxy {proxy_address} - Proxy server cannot establish a connection with the target, status code {status_code}",1
41,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",2
42,{server}:{port} open through proxy {proxy} {protocol},13
43,"{ip_address}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",5
44,"BAYMSGR{variable}:443 close, {variable} bytes ({variable} KB) sent, {variable} bytes ({variable} KB) received, lifetime {variable}",1
45,IP_ADDRESS:PORT error : Could not connect through proxy PROXY_ADDRESS:PROXY_PORT - Proxy closed the connection unexpectedly.,1
46,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({received_kb} KB) received, lifetime {lifetime}",1
47,oimagea5.ydstatic.com:80 error : A connection request was {action} before the {status}.,11
48,proxy.cse.cuhk.edu.hk:{port} open through proxy {proxy_type} HTTPS,1
49,IP_ADDRESS:PORT error : MESSAGE - REASON,2
50,oimageb3.ydstatic.com:80 error : A connection request was canceled before the completion.,1
51,oimageb1.ydstatic.com:80 error : A connection request was {action} before the {status}.,1
52,oimagea3.ydstatic.com:80 error : A connection request was {action} before the {status}.,1
53,oimagec1.ydstatic.com:80 error : A connection request was {action} before the {status}.,2
54,oimageb{server}.ydstatic.com:{port} error : {message},1
55,"oimageb7.ydstatic.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
56,{server}:{port} open through proxy {proxy}:{proxy_port} {protocol},2
57,oimageb2.ydstatic.com:80 error : A connection request was {action} before the {status}.,1
58,oimageb{num}.ydstatic.com:{port} error : A connection request was canceled before the completion.,1
59,oimagec4.ydstatic.com:80 error : A connection request was {action} before the {status}.,1
60,oimageb8.ydstatic.com:80 error : A connection request was canceled before the completion.,1
61,"oimageb6.ydstatic.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
62,"oimagea7.ydstatic.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
63,"oimagec3.ydstatic.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
64,oimageb8.ydstatic.com:80 error : A connection request was {action} before the {status}.,1
65,www.{domain}:{port} open through proxy {proxy} {protocol},4
66,c.{domain}:80 open through proxy {proxy}:5070 {protocol},1
67,sclick.baidu.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},6
68,"www.{domain}:80 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",3
69,timg.baidu.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},2
70,"get.sogou.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",2
71,"ss.bdimg.com:80 close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
72,"t{server}.baidu.com:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",9
73,"sestat.baidu.com:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
74,"ss.bdimg.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",3
75,comment.{id}.com:{port} open through proxy {proxy}:{proxy_port} {protocol},3
76,www.{domain}:{port} open through proxy {proxy}:{proxy_port} {protocol},1
77,dup.baidustatic.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},4
78,eclick.baidu.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},5
79,"b1.bdstatic.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",2
80,"pos.baidu.com:80 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",2
81,"i{server}.baidu.com:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",2
82,"xin.4399.cn:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",1
83,"newsimg.5054399.com:80 close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
84,"comment.{website}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
85,"i{num}.baidu.com:{port} close, {sent} bytes sent, {received} bytes received, lifetime {time}",2
86,"m.news.4399.com:80 close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
87,"www.4399.cn:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",1
88,api.share.baidu.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},1
89,"timg.baidu.com:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
90,"www.googletagservices.com:443 close, {bytes_sent} bytes ({KB_sent} KB) sent, {bytes_received} bytes received, lifetime {lifetime}",1
91,"yt3.ggpht.com:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",2
92,"www.google.com:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",3
93,"dup.baidustatic.com:443 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",2
94,pubads.g.doubleclick.net:443 open through proxy {proxy_address}:{proxy_port} HTTPS,1
95,"odr.mookie1.com:443 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
96,"safebrowsing.googleapis.com:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",4
97,"clients{client_number}.google.com:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",1
98,"d.dropbox.com:443 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",2
99,"clients{client_number}.google.com:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",14
100,"i.ytimg.com:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
101,"hostname:port close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",4
102,"odr.mookie1.com:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
103,odr.mookie1.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},2
104,static.doubleclick.net:443 open through proxy {proxy_address}:{proxy_port} HTTPS,2
105,d.dropbox.com:443 open through proxy {proxy_address} HTTPS,1
