,EventTemplate,Occurrences
0,session closed for user {username},24
1,session opened for user {username} by (uid={uid}),19
2,({user}) CMD ({command}),14
3,data_thread() got not answer from any {datasource},717
4,"synchronized to {ip_address}, stratum {stratum}",512
5,"synchronized to {ip_address}, stratum {stratum_level}",54
6,data_thread() got not answer from any {datasource} datasource,95
7,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,62
8,[ib_sm_sweep.c:{line_number}]: No topology change,62
9,[ib_sm_sweep.c:{line_number}]: No configuration change required,62
10,Local disconnected: {reason}.,3
11,connection lost: '{reason}',3
12,unable to qualify my own domain name ({hostname}) -- using short name,6
13,"from=root, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",1
14,"to={to}, ctladdr={ctladdr}, delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay={relay}, dsn={dsn}, stat={stat}",3
15,unable to qualify my own domain name ({domain_name}) -- using short name,4
16,"{:id}: from={:from}, size={:size}, class={:class}, nrcpts={:nrcpts}, msgid={:msgid}, relay={:relay}",6
17,"jA9J1Wd7019391: to={to}, ctladdr={ctladdr} ({ctladdr_count}/{ctladdr_total}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
18,"from={from}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",3
19,"jA9J1WSU011176: to=root, ctladdr=root (0/0), delay={delay}, xdelay={xdelay}, mailer=relay, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
20,"jA9J1WFE024258: to={to}, ctladdr={ctladdr} ({ctladdr_count}/{ctladdr_total}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
21,DHCPDISCOVER from {mac_address} via {interface},5
22,DHCPOFFER on {IP} to {MAC} via {interface},5
23,"jA9J1dQ{num}: to={to}, ctladdr={ctladdr} ({num}/{num}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={num}, relay=[{ip}] [{ip}], dsn={dsn}, stat={stat}",1
24,DHCPDISCOVER from {mac_address} via {interface}: {network}: no free leases,14
25,DHCPACK on {IP} to {MAC} via {interface},3
26,DHCPREQUEST for {IP} ({IP}) from {MAC} via {interface},3
27,START: tftp pid={pid} from={ip},1
28,DHCPREQUEST for {IP} ({IP}) from {MAC} via {interface}: unknown lease {IP}.,9
29,DHCPDISCOVER from {mac_address} via {interface}: {network_name}: no free leases,1
30,RRD_update (<path>): illegal attempt to update using time <time> when last update time is <time> (minimum one second step),1
31,kernel time sync disabled {variable},1
32,time reset {time} s,1
33,data_thread() got not answer from any {datasource_name} datasource,7
34,RRD_update ({rrd_path}): illegal attempt to update using time {update_time} when last update time is {last_update_time} (minimum one second step),10
35,Received SNMP packet(s) from {device_id},1
36,"synchronized to LOCAL({int}), stratum {int}",1
37,kernel time sync enabled {variable},1
38,"synchronized to {#}, stratum {#}",1
39,({user}) CMD ({command} {argument}),1
40,(root) CMD ({path} {arg}),1
41,{user} CMD ({command} {argument}),1
42,{user} CMD ({command} {option}),1
43,(root) CMD (/projects/tbird/temps/get_temps {variable}),1
44,My unqualified host name ({hostname}) unknown; sleeping for retry,5
45,CentOS-4 ({placeholder}),1
46,(supports {var1} {var2} {var3}),1
47,DSDT (v001 {string1} {string2} 0x{hex1} MSFT 0x{hex2}) @ 0x{hex3},1
48,FADT (v{version} {manufacturer} {product} 0x{revision} {oem_id} 0x{creator_id}) @ 0x{address},1
