,EventTemplate,Occurrences
0,{server}: {port} open through proxy {proxy_server}:{proxy_port} {protocol},460
1,"{server}: {port} {action}, {sent} bytes sent, {received} bytes received, lifetime {time}",23
2,"{server}: {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{duration} sec>",31
3,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime {duration}",29
4,"{server}: {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",42
5,"{server}: {action}, {sent} bytes sent, {received} bytes received, lifetime <{time}>",29
6,"{server}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime}>",6
7,"{server}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",29
8,"{server}: {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime {duration}",8
9,"{server}: {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",16
10,"{server}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",1
11,"{server}: {port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",8
12,"{server}:{port} {action}, {sent} bytes ({size}), {received} bytes received, lifetime {time}",6
13,"{server}: {action}, {sent} bytes ({sent_kb} KB) sent, {received} bytes received, lifetime {lifetime}",2
14,"{server}: {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime}>",3
15,"{server}: {action}, {sent} bytes ({size}), {received} bytes received, lifetime {time}",22
16,"{server}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",2
17,"{server}: {port} {action}, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",39
18,"{server}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime}>",6
19,"{server}:{port} {action}, {sent} bytes ({sent_kb} KB) sent, {received} bytes received, lifetime {lifetime}",7
20,"{server}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",15
21,"{server}:{port} {action}, {sent} bytes ({sent_kb} KB) sent, {received} bytes received, lifetime <{lifetime} sec>",1
22,"{server}: {action}, {sent} bytes ({sent_kb} KB) sent, {received} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",6
23,"{server}:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",6
24,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",28
25,"{server}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",107
26,"{server}: {action}, {sent} bytes ({sent_kb} KB) sent, {received} bytes ({received_kb} KB) received, lifetime {lifetime}",5
27,"{server}:{port} {action}, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",5
28,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size_received}) received, lifetime {lifetime}",3
29,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",7
30,"{server}: {port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",3
31,{IP Address}:{Port} open through proxy {Proxy Address}:{Proxy Port} {Proxy Type},2
32,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{duration} sec>",2
33,"{server}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",75
34,"{server}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",3
35,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec}",10
36,"{host}:{port} {status}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",3
37,{host}:{port} {level} : {message},5
38,"{server}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",18
39,"{server}: {port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",1
40,"{server}: {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",5
41,"{server}: {port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",1
42,"{server}:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",1
43,"{IP}:{PORT} close, {BYTES_SENT} bytes ({KB_SENT} KB) sent, {BYTES_RECEIVED} bytes ({KB_RECEIVED} KB) received, lifetime {LIFETIME}",1
44,{IP}:{PORT} open through proxy {PROXY}:{PROXY_PORT} {PROTOCOL},2
45,{host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},150
46,"{host}:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",3
47,{IP_ADDRESS}:{PORT} open through proxy {PROXY_ADDRESS}:{PROXY_PORT} {PROTOCOL},6
48,"{server}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",6
49,{server}:{port} open through proxy {proxy_server}:{proxy_port} {protocol},91
50,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {duration}",3
51,"{server}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime <{duration}>",2
52,"{service}.{app}.{domain}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",1
53,"{server}: {action}, {sent} sent, {received} received, lifetime {lifetime}",1
54,{server}:{port} {level} : {message},32
55,"{server}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",25
56,{service}:{port} {level} : {message},14
57,"{server}:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime <{lifetime} sec>",2
58,"{IP}:{PORT} close, {BYTES_SENT} bytes sent, {BYTES_RECEIVED} bytes received, lifetime {LIFETIME}",3
59,"{IP}:443 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",2
60,"{server}: {action}, {sent} sent, {received} received, lifetime {time}",3
61,{IP Address}:{Port} {Log Level} : {Log Message},1
62,"{server}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime {duration}",3
63,"{server}: {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime {time}",3
64,"{server}:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({KB_received} KB) received, lifetime {lifetime}",1
65,"{server}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
66,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime <{lifetime}>",1
67,"{server}:{port} {action}, {sent} bytes ({size}), {received} bytes received, lifetime <{duration}>",1
68,"{server}: {port} {action}, {sent} bytes ({sent_kb} KB) sent, {received} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",1
69,"{server}: {port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",1
70,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime <{duration}>",2
71,"{server}:{port} {action}, {sent} bytes ({size}), {received} bytes received, lifetime {duration}",3
72,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{duration}>",1
73,"{server}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",2
74,"{server}: {action}, {sent} bytes ({size}), {received} received, lifetime {time}",1
